placa,market,plan_type,balance,payment,term_months,protections_allowed,protections_used,protections_remaining,contract_status,contract_valid_until,contract_reset_cycle_days,requires_manual_review,expected_payment,bank_transfer,cash_collection,observed_payment,arrears_amount,coverage_ratio_30d,coverage_ratio_14d,coverage_ratio_7d,gnv_credit_30d,gnv_credit_14d,gnv_credit_7d,litros_30d,avg_30d_litros,downtime_hours_30d,downtime_hours_14d,downtime_hours_7d,distance_km_30d,engine_hours_30d,fault_events_30d,hase_consumption_gap_flag,hase_fault_alert_flag,hase_telemetry_ok_flag,has_recent_promise_break,last_protection_at,scenario,risk_story
LAB-082,EDOMEX - TLANEPANTLA,proteccion_light,360000,13500,36,1,0,1,active,2026-02-18,180,False,13500,6588.07,6707.3,13295.37,204.63,0.55,0.256,0.128,6676.76,3450.66,1721.84,474.37,15.81,266.77,125.49,62.93,1495.8,47.1,1,0,0,0,0,2025-07-04,baseline,baseline
LAB-083,AGUASCALIENTES,proteccion_basica,470000,16800,44,2,2,0,active,2025-12-19,240,False,16800,9762.76,6321.65,16084.41,715.59,0.56,0.409,0.283,8473.19,6864.05,4752.22,200.0,6.67,280.0,95.62,50.51,621.4,20.2,1,0,0,1,0,2025-08-20,baseline,baseline
LAB-084,EDOMEX - TLANEPANTLA,proteccion_light,360000,13500,36,1,1,0,active,2026-01-18,180,False,13500,6654.92,7331.61,13986.53,0.0,0.1,0.053,0.053,1245.12,710.62,710.62,200.0,6.67,11.37,11.37,11.37,584.7,18.8,0,0,0,1,0,2025-08-20,baseline,baseline
LAB-085,EDOMEX - ECATEPEC,proteccion_basica,470000,16800,44,2,2,0,active,2025-12-25,240,False,16800,9731.48,7627.08,17358.56,-1649.05,0.562,0.367,0.223,9370.08,6165.11,3743.92,200.0,6.67,280.0,160.0,96.0,556.4,20.2,2,0,0,0,0,2025-06-27,baseline,baseline
LAB-086,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,1,2,active,2026-02-19,365,False,19000,9995.12,10513.09,20508.21,0.0,0.752,0.633,0.118,15109.8,12024.05,2235.32,200.0,6.67,280.0,131.41,59.73,657.4,25.1,1,0,0,0,0,2025-08-31,baseline,baseline
LAB-087,AGUASCALIENTES,proteccion_light,360000,13500,36,1,0,1,active,2026-04-22,180,False,13500,6455.79,6495.47,12951.26,548.74,1.583,0.785,0.411,23179.14,10595.57,5549.32,1438.12,47.94,102.35,46.24,20.8,4030.6,147.3,0,0,0,1,0,2025-07-19,baseline,baseline
LAB-088,AGUASCALIENTES,proteccion_ilimitada,610000,20500,60,4,4,0,active,2026-04-29,180,False,20500,8234.8,9168.71,17403.51,3096.49,1.6,1.488,1.36,31381.59,30496.9,27870.08,3800.0,126.67,0.1,1.69,1.47,12086.3,385.5,4,0,1,1,0,2025-08-23,fault_alert,fault_alert
LAB-089,AGUASCALIENTES,proteccion_caduca,455000,17200,40,2,1,1,active,2026-03-29,365,False,17200,8621.22,4703.06,13324.28,3875.72,0.492,0.353,0.235,8073.13,6077.38,4042.66,236.59,7.89,269.25,160.0,51.11,744.9,26.7,2,1,0,0,0,2025-06-30,consumption_gap,consumption_gap
LAB-090,AGUASCALIENTES,proteccion_basica,470000,16800,44,2,0,2,active,2026-04-30,240,False,16800,8496.18,7805.32,16301.5,498.5,0.993,1.014,1.004,16609.11,17041.6,16874.52,627.76,20.93,113.27,63.12,35.99,1846.4,65.3,0,0,0,1,0,2025-07-25,baseline,baseline
LAB-091,AGUASCALIENTES,proteccion_basica,470000,16800,44,2,2,0,active,2025-11-22,240,False,16800,10428.59,7144.25,17572.84,0.0,0.209,0.128,0.113,3133.18,2153.88,1890.32,200.0,6.67,47.84,33.62,6.92,642.9,22.7,0,0,0,1,0,2025-06-19,baseline,baseline
LAB-092,EDOMEX - TLANEPANTLA,proteccion_light,360000,13500,36,1,0,1,active,2026-01-23,180,False,13500,6857.4,6797.56,13654.96,0.0,1.03,0.478,0.219,14961.67,6458.84,2951.99,808.68,26.96,187.95,87.49,43.87,2521.6,82.5,1,0,0,1,0,2025-06-24,baseline,baseline
LAB-093,AGUASCALIENTES,proteccion_light,360000,13500,36,1,1,0,active,2025-12-27,180,False,13500,9300.4,4753.52,14053.92,-1243.14,1.1,1.062,1.095,14010.55,14337.77,14778.4,516.12,17.2,113.93,56.24,27.97,1612.1,52.8,0,0,0,1,0,2025-08-17,baseline,baseline
LAB-094,EDOMEX - TLANEPANTLA,proteccion_light,360000,13500,36,1,0,1,active,2026-01-13,180,False,13500,7401.66,7149.28,14550.94,0.0,0.1,0.05,0.02,1337.48,675.0,270.0,200.0,6.67,11.8,11.8,11.8,678.7,22.9,0,0,0,1,0,2025-07-14,baseline,baseline
LAB-095,AGUASCALIENTES,proteccion_total,520000,19000,48,3,2,1,active,2025-11-17,365,False,19000,7814.48,8582.5,16396.98,2603.02,0.895,0.418,0.211,17913.59,7942.75,4001.99,893.72,29.79,209.47,98.19,49.02,3032.2,106.0,1,1,0,1,0,2025-08-09,consumption_gap,consumption_gap
LAB-096,AGUASCALIENTES,proteccion_total,520000,19000,48,3,1,2,active,2026-01-23,365,False,19000,7059.78,7382.65,14442.43,4557.57,1.06,1.018,1.047,17369.42,19341.13,19887.65,598.6,19.95,196.47,92.79,45.07,1981.0,73.3,2,1,0,1,0,2025-07-28,consumption_gap,consumption_gap
LAB-097,AGUASCALIENTES,proteccion_total,520000,19000,48,3,0,3,expired,2026-05-01,365,True,19000,6075.88,9744.72,15820.6,3179.4,0.113,0.079,0.068,2020.82,1503.98,1290.07,200.0,6.67,66.53,26.44,2.99,549.8,21.2,0,0,0,1,0,2025-08-10,delinquency,delinquency
LAB-098,EDOMEX - TLANEPANTLA,proteccion_basica,470000,16800,44,2,2,0,active,2026-01-28,240,False,16800,8927.44,7364.36,16291.8,508.2,0.991,1.011,0.988,18080.17,16976.58,16606.65,582.92,19.43,275.44,128.76,64.32,1848.4,59.9,2,0,0,0,0,2025-06-22,baseline,baseline
LAB-099,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,2,1,active,2026-02-02,365,False,19000,8569.53,9965.12,18534.65,465.35,0.596,0.295,0.144,11558.56,5600.03,2739.53,467.63,15.59,258.41,120.32,59.8,1459.1,48.2,2,0,0,0,0,2025-09-06,baseline,baseline
LAB-100,EDOMEX - ECATEPEC,proteccion_total,520000,19000,48,3,3,0,active,2026-02-03,365,False,19000,11028.16,7756.3,18784.46,215.54,0.316,0.233,0.131,5673.62,4422.0,2498.21,258.33,8.61,280.0,125.27,56.51,842.5,31.2,2,0,0,0,0,2025-07-30,baseline,baseline
LAB-101,EDOMEX - TLANEPANTLA,proteccion_basica,470000,16800,44,2,0,2,active,2026-01-01,240,False,16800,7386.6,6798.42,14185.02,2614.98,0.494,0.201,0.086,8629.53,3375.75,1443.49,421.02,14.03,280.0,127.47,65.22,1333.0,53.2,2,1,0,0,0,2025-06-25,consumption_gap,consumption_gap
LAB-102,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,3,-1,expired,2026-03-22,365,True,19000,5278.01,2140.81,7418.82,11581.18,0.563,0.297,0.157,9204.34,5638.11,2982.88,478.94,15.96,268.29,121.24,59.45,1269.1,48.0,2,0,0,0,1,2025-06-10,delinquency,proteccion_negativa
LAB-103,AGUASCALIENTES,proteccion_light,360000,13500,36,1,0,1,active,2026-04-20,180,False,13500,6402.09,4528.75,10930.84,2569.16,1.098,0.514,0.24,13720.43,6938.69,3235.4,1206.3,40.21,169.66,77.51,38.24,3920.8,144.1,0,1,0,1,0,2025-09-06,consumption_gap,consumption_gap
LAB-104,EDOMEX - TLANEPANTLA,proteccion_basica,470000,16800,44,2,1,1,active,2025-11-27,240,False,16800,9299.48,4214.61,13514.09,3285.91,1.5,1.359,1.4,23287.26,22828.17,23520.0,3800.0,126.67,0.93,4.41,2.03,11150.0,415.6,5,0,1,1,0,2025-07-26,fault_alert,fault_alert
LAB-105,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,3,0,active,2025-11-26,365,False,19000,9423.75,10827.64,20251.39,0.0,0.928,0.429,0.199,16392.27,8148.63,3779.77,675.01,22.5,202.33,95.05,47.94,1830.6,59.3,2,0,0,1,0,2025-08-16,baseline,baseline
LAB-106,EDOMEX - TLANEPANTLA,proteccion_light,360000,13500,36,1,1,0,active,2026-03-07,180,False,13500,8686.38,5526.52,14212.9,0.0,1.6,1.5,1.4,22666.09,20250.0,18900.0,3073.04,102.43,5.11,2.89,2.56,9060.2,355.8,0,0,0,1,0,2025-09-06,baseline,baseline
LAB-107,EDOMEX - TLANEPANTLA,proteccion_ilimitada,610000,20500,60,4,1,3,active,2026-02-02,180,False,20500,13857.43,5901.52,19758.95,741.05,0.217,0.145,0.107,4728.83,2978.5,2193.54,200.0,6.67,0.64,0.39,6.4,579.7,21.7,0,0,0,1,0,2025-08-12,baseline,baseline
LAB-108,EDOMEX - TLANEPANTLA,proteccion_light,360000,13500,36,1,0,1,expired,2026-05-05,180,True,13500,5930.93,1736.48,7667.41,5832.59,0.47,0.221,0.129,6431.57,2980.94,1743.18,430.2,14.34,280.0,133.66,66.26,1319.2,44.7,1,0,0,0,1,2025-06-29,delinquency,promesa_incumplida
LAB-109,EDOMEX - ECATEPEC,proteccion_basica,470000,16800,44,2,0,2,active,2026-04-28,240,False,16800,7142.62,8506.83,15649.45,1150.55,0.597,0.52,0.417,10725.06,8737.49,7000.08,208.42,6.95,280.0,83.12,29.65,652.1,24.0,2,1,0,1,0,2025-07-04,consumption_gap,consumption_gap
LAB-110,EDOMEX - ECATEPEC,proteccion_total,520000,19000,48,3,2,1,active,2026-02-06,365,False,19000,12185.45,6754.11,18939.56,60.44,0.37,0.343,0.095,6976.21,6511.92,1804.29,200.0,6.67,232.06,157.21,29.26,620.5,20.2,2,0,0,0,0,2025-08-14,baseline,baseline
LAB-111,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,1,2,active,2025-12-18,365,False,19000,8705.17,10753.93,19459.1,0.0,0.556,0.233,0.12,10294.88,4418.93,2271.83,470.45,15.68,265.34,123.69,63.02,1238.8,42.7,2,0,0,0,0,2025-08-07,baseline,baseline
LAB-112,AGUASCALIENTES,proteccion_total,520000,19000,48,3,2,1,active,2025-11-23,365,False,19000,11811.82,7404.61,19216.43,-1630.29,1.231,0.608,0.309,22098.42,11544.91,5870.37,1229.42,40.98,159.11,70.28,33.51,3778.8,121.9,0,0,0,1,0,2025-06-20,baseline,baseline
LAB-113,AGUASCALIENTES,proteccion_caduca,455000,17200,40,2,2,-1,active,2025-11-30,365,True,17200,6276.28,4552.61,10828.89,6371.11,0.563,0.462,0.332,10094.94,7944.71,5709.65,200.0,6.67,280.0,160.0,96.0,523.1,20.0,1,0,0,0,1,2025-07-28,delinquency,proteccion_negativa
LAB-114,EDOMEX - ECATEPEC,proteccion_caduca,455000,17200,40,2,1,1,active,2026-01-09,365,False,17200,7451.01,7315.82,14766.83,2433.17,1.6,1.5,1.4,27257.39,25800.0,24080.0,3800.0,126.67,1.46,2.41,2.35,11630.1,396.7,4,0,1,1,0,2025-08-30,fault_alert,fault_alert
LAB-115,EDOMEX - TLANEPANTLA,proteccion_light,360000,13500,36,1,0,1,active,2026-02-02,180,False,13500,8521.97,4988.47,13510.44,0.0,0.558,0.457,0.125,6703.4,6173.39,1683.11,200.0,6.67,280.0,160.0,69.28,521.1,20.3,2,0,0,0,0,2025-07-15,baseline,baseline
LAB-116,EDOMEX - TLANEPANTLA,proteccion_basica,470000,16800,44,2,0,2,active,2026-03-17,240,False,16800,11487.42,6278.74,17766.16,-1116.75,1.298,1.277,1.228,20991.86,21453.27,20632.4,3800.0,126.67,2.39,3.42,0.01,10887.1,381.3,0,0,0,1,0,2025-06-29,baseline,baseline
LAB-117,EDOMEX - TLANEPANTLA,proteccion_light,360000,13500,36,1,1,0,active,2026-02-17,180,False,13500,7348.21,6086.14,13434.35,65.65,0.1,0.05,0.048,1196.47,675.0,649.83,200.0,6.67,34.79,34.79,34.79,526.7,18.1,0,0,0,1,0,2025-08-02,baseline,baseline
LAB-118,AGUASCALIENTES,proteccion_caduca,455000,17200,40,2,1,1,active,2026-04-14,365,False,17200,11492.77,6972.91,18465.68,0.0,0.711,0.527,0.237,12340.93,9072.56,4082.62,249.46,8.32,280.0,160.0,46.14,756.8,29.7,2,0,0,0,0,2025-07-13,baseline,baseline
LAB-119,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,1,2,active,2026-03-17,365,False,19000,12986.42,6327.64,19314.06,0.0,1.6,1.5,1.4,31590.83,28500.0,26600.0,3800.0,126.67,4.81,4.64,0.4,10200.1,319.2,0,0,0,1,0,2025-06-06,baseline,baseline
LAB-120,EDOMEX - ECATEPEC,proteccion_light,360000,13500,36,1,1,0,active,2026-04-01,180,False,13500,7116.51,6267.13,13383.64,116.36,1.413,0.663,0.325,18931.37,8949.87,4388.88,1109.77,36.99,108.99,62.12,28.69,3181.3,105.1,5,0,1,1,0,2025-06-19,fault_alert,fault_alert
LAB-121,EDOMEX - ECATEPEC,proteccion_caduca,455000,17200,40,2,2,0,active,2026-02-26,365,False,17200,7459.76,8525.81,15985.57,1214.43,0.145,0.09,0.067,2599.57,1549.28,1144.72,200.0,6.67,35.4,16.96,10.34,671.2,23.4,0,1,0,1,0,2025-08-11,consumption_gap,consumption_gap
LAB-122,EDOMEX - TLANEPANTLA,proteccion_light,360000,13500,36,1,1,0,active,2026-04-25,180,False,13500,7497.31,5525.8,13023.11,476.89,1.6,1.5,1.4,23191.04,20250.0,18900.0,3800.0,126.67,0.58,4.51,2.72,11408.0,374.4,0,0,0,1,0,2025-06-11,baseline,baseline
LAB-123,AGUASCALIENTES,proteccion_total,520000,19000,48,3,1,2,active,2025-12-08,365,False,19000,9696.17,9818.09,19514.26,0.0,0.97,0.519,0.24,16219.02,9860.37,4554.5,781.66,26.06,214.94,78.47,38.62,2187.1,78.2,1,0,0,1,0,2025-07-14,baseline,baseline
LAB-124,AGUASCALIENTES,proteccion_ilimitada,610000,20500,60,4,2,2,active,2026-01-04,180,False,20500,10900.11,9439.06,20339.17,160.83,0.715,0.588,0.204,13548.39,12062.75,4182.34,200.0,6.67,280.0,160.0,64.59,618.3,22.8,3,0,1,0,0,2025-08-07,fault_alert,fault_alert
LAB-125,EDOMEX - ECATEPEC,proteccion_caduca,455000,17200,40,2,1,1,active,2026-01-04,365,False,17200,7185.38,6184.25,13369.63,3830.37,1.141,1.086,1.1,17941.94,18678.94,18914.08,733.92,24.46,15.93,15.93,0.0,2325.1,76.6,0,1,0,1,0,2025-08-02,consumption_gap,consumption_gap
LAB-126,EDOMEX - ECATEPEC,proteccion_total,520000,19000,48,3,1,2,active,2026-01-11,365,False,19000,11678.85,8024.18,19703.03,0.0,0.43,0.359,0.11,7604.94,6816.61,2081.65,200.0,6.67,280.0,154.65,54.04,665.3,26.5,1,0,0,0,0,2025-07-11,baseline,baseline
LAB-127,EDOMEX - ECATEPEC,proteccion_total,520000,19000,48,3,0,3,active,2025-12-19,365,False,19000,10961.59,7913.08,18874.67,125.33,0.824,0.852,0.863,14974.04,16194.99,16403.67,473.82,15.79,261.06,132.55,67.04,1395.1,49.0,2,0,0,0,0,2025-08-31,baseline,baseline
LAB-128,EDOMEX - TLANEPANTLA,proteccion_basica,470000,16800,44,2,0,2,active,2026-01-09,240,False,16800,8379.43,4852.46,13231.89,3568.11,0.513,0.223,0.117,7567.44,3751.08,1968.3,450.9,15.03,272.22,128.45,65.0,1508.4,50.2,1,1,0,0,0,2025-09-02,consumption_gap,consumption_gap
LAB-129,EDOMEX - ECATEPEC,proteccion_basica,470000,16800,44,2,0,2,active,2025-11-24,240,False,16800,10901.95,7162.34,18064.29,0.0,1.227,1.325,1.325,21526.74,22265.46,22258.26,3800.0,126.67,3.76,1.59,5.33,11416.4,410.1,0,0,0,1,0,2025-06-20,baseline,baseline
LAB-130,AGUASCALIENTES,proteccion_caduca,455000,17200,40,2,1,1,active,2026-02-19,365,False,17200,8301.14,5657.67,13958.81,3241.19,0.912,0.911,0.867,15872.09,15667.77,14918.29,574.55,19.15,179.21,79.68,39.17,1669.8,54.5,3,0,1,1,0,2025-06-28,fault_alert,fault_alert
LAB-131,EDOMEX - TLANEPANTLA,proteccion_light,360000,13500,36,1,1,0,active,2025-12-10,180,False,13500,6832.71,6803.36,13636.07,0.0,0.499,0.358,0.02,7018.75,4829.42,270.0,200.0,6.67,280.0,160.0,96.0,586.4,22.8,2,0,0,0,0,2025-06-16,baseline,baseline
LAB-132,AGUASCALIENTES,proteccion_basica,470000,16800,44,2,2,0,active,2026-03-14,240,False,16800,7267.57,8215.75,15483.32,1316.68,1.201,0.531,0.296,17335.52,8915.54,4976.81,1320.31,44.01,158.36,74.5,38.08,3879.9,146.9,5,0,1,1,0,2025-06-06,fault_alert,fault_alert
LAB-133,EDOMEX - ECATEPEC,proteccion_total,520000,19000,48,3,1,2,active,2025-12-02,365,False,19000,10942.16,7740.03,18682.19,317.81,1.172,1.188,1.203,21388.06,22565.19,22858.88,506.24,16.87,0.0,0.0,0.0,1493.7,57.7,0,0,0,1,0,2025-06-23,baseline,baseline
LAB-134,EDOMEX - TLANEPANTLA,proteccion_ilimitada,610000,20500,60,4,4,0,active,2026-01-17,180,False,20500,9553.11,9053.25,18606.36,1893.64,0.1,0.071,0.071,1870.71,1464.07,1464.07,200.0,6.67,45.89,45.89,45.89,587.3,19.6,3,0,1,1,0,2025-06-25,fault_alert,fault_alert
LAB-135,EDOMEX - TLANEPANTLA,proteccion_light,360000,13500,36,1,0,1,active,2026-04-10,180,False,13500,6594.7,6492.77,13087.47,412.53,0.905,0.935,0.897,12448.37,12621.28,12113.6,527.09,17.57,11.77,11.77,11.77,1552.1,54.9,0,0,0,1,0,2025-06-10,baseline,baseline
LAB-136,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,3,0,active,2026-02-05,365,False,19000,8613.7,6601.6,15215.3,3784.7,0.2,0.2,0.128,3822.54,3802.94,2428.44,200.0,6.67,117.5,117.5,71.67,541.7,17.6,3,0,1,1,0,2025-08-25,fault_alert,fault_alert
LAB-137,EDOMEX - TLANEPANTLA,proteccion_basica,470000,16800,44,2,0,2,active,2026-03-22,240,False,16800,9744.18,8148.09,17892.27,0.0,0.1,0.05,0.02,1565.89,840.0,336.0,200.0,6.67,11.76,11.76,11.76,652.0,25.3,0,0,0,1,0,2025-06-05,baseline,baseline
LAB-138,EDOMEX - TLANEPANTLA,proteccion_ilimitada,610000,20500,60,4,3,1,active,2025-11-25,180,False,20500,11147.59,10796.65,21944.24,-2315.74,0.521,0.232,0.118,10827.61,4762.1,2416.05,459.49,15.32,271.22,127.46,64.05,1475.8,55.6,2,0,0,0,0,2025-07-22,baseline,baseline
LAB-139,EDOMEX - ECATEPEC,proteccion_ilimitada,610000,20500,60,4,0,4,active,2026-04-08,180,False,20500,9512.11,10772.31,20284.42,215.58,0.877,0.882,0.877,18962.46,18078.45,17978.65,605.38,20.18,0.0,0.0,0.0,1918.6,61.0,0,0,0,1,0,2025-08-05,baseline,baseline
LAB-140,EDOMEX - TLANEPANTLA,proteccion_light,360000,13500,36,1,0,1,active,2026-04-25,180,False,13500,7090.37,6697.93,13788.3,0.0,0.245,0.198,0.117,3460.53,2678.36,1580.44,200.0,6.67,280.0,160.0,59.49,564.6,18.2,1,0,0,0,0,2025-07-26,baseline,baseline
LAB-141,EDOMEX - TLANEPANTLA,proteccion_light,360000,13500,36,1,0,1,active,2026-01-15,180,False,13500,6519.25,7672.31,14191.56,0.0,0.1,0.05,0.02,1220.65,675.0,270.0,200.0,6.67,11.86,11.86,11.86,631.9,20.2,0,0,0,1,0,2025-08-06,baseline,baseline
LAB-142,EDOMEX - TLANEPANTLA,proteccion_ilimitada,610000,20500,60,4,0,4,active,2025-12-26,180,False,20500,13309.63,7539.3,20848.93,0.0,0.1,0.05,0.02,1743.59,1025.0,410.0,200.0,6.67,11.97,11.97,11.97,534.7,17.0,0,0,0,1,0,2025-07-28,baseline,baseline
LAB-143,EDOMEX - ECATEPEC,proteccion_total,520000,19000,48,3,2,1,active,2026-03-24,365,False,19000,8554.43,10624.33,19178.76,0.0,1.6,1.5,1.4,30772.15,28500.0,26600.0,3800.0,126.67,3.24,0.98,0.9,10919.0,393.5,0,0,0,1,0,2025-06-09,baseline,baseline
LAB-144,EDOMEX - TLANEPANTLA,proteccion_basica,470000,16800,44,2,0,2,active,2026-03-14,240,False,16800,4999.58,4656.78,9656.36,7143.64,0.1,0.05,0.036,1563.31,840.0,600.13,200.0,6.67,23.36,23.36,23.36,620.3,23.8,0,0,0,1,0,2025-07-10,delinquency,delinquency
LAB-145,EDOMEX - ECATEPEC,proteccion_ilimitada,610000,20500,60,4,4,0,active,2026-02-06,180,False,20500,14084.93,7690.92,21775.85,0.0,0.1,0.05,0.02,2047.63,1025.0,410.0,200.0,6.67,11.85,11.85,11.85,662.0,22.1,0,0,0,1,0,2025-07-28,baseline,baseline
LAB-146,EDOMEX - ECATEPEC,proteccion_light,360000,13500,36,1,1,-1,active,2026-01-14,180,True,13500,3939.69,3431.52,7371.21,6128.79,0.316,0.248,1.4,4109.02,3354.71,18900.0,257.63,8.59,268.11,93.55,25.62,806.5,27.2,1,0,0,1,0,2025-08-31,delinquency,proteccion_negativa
LAB-147,EDOMEX - ECATEPEC,proteccion_basica,470000,16800,44,2,2,0,active,2026-03-15,240,False,16800,11250.36,6005.01,17255.37,0.0,0.37,0.305,0.165,5588.02,5119.82,2768.78,200.0,6.67,280.0,141.13,36.75,609.7,21.3,2,0,0,0,0,2025-05-30,baseline,baseline
LAB-148,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,3,0,active,2026-03-22,365,False,19000,10694.96,9317.51,20012.47,0.0,0.1,0.05,0.021,1616.86,950.0,407.17,200.0,6.67,23.65,23.65,23.65,674.4,21.3,0,0,0,1,0,2025-08-06,baseline,baseline
LAB-149,AGUASCALIENTES,proteccion_total,520000,19000,48,3,0,3,active,2026-03-23,365,False,19000,10951.89,7256.89,18208.78,791.22,1.6,1.5,1.4,29402.45,28500.0,26600.0,3800.0,126.67,4.78,0.38,1.6,11262.9,400.8,0,0,0,1,0,2025-06-06,baseline,baseline
LAB-150,AGUASCALIENTES,proteccion_caduca,455000,17200,40,2,1,1,active,2026-01-26,365,False,17200,10404.71,6182.78,16587.49,612.51,1.6,1.5,1.4,23666.82,25800.0,24080.0,3800.0,126.67,1.08,1.2,5.13,11456.2,369.3,0,0,0,1,0,2025-07-24,baseline,baseline
LAB-151,EDOMEX - ECATEPEC,proteccion_total,520000,19000,48,3,2,1,active,2025-12-09,365,False,19000,8877.11,6474.33,15351.44,3648.56,1.001,1.019,1.02,20510.67,19354.31,19386.97,537.8,17.93,257.53,128.39,63.57,1742.9,69.1,5,0,1,0,0,2025-08-12,fault_alert,fault_alert
LAB-152,AGUASCALIENTES,proteccion_total,520000,19000,48,3,2,1,active,2026-04-20,365,False,19000,10312.94,6015.03,16327.97,2672.03,0.841,0.855,0.828,15227.28,16238.75,15733.21,776.08,25.87,121.21,59.8,29.79,2211.9,87.1,0,1,0,1,0,2025-06-16,consumption_gap,consumption_gap
LAB-153,EDOMEX - TLANEPANTLA,proteccion_basica,470000,16800,44,2,1,1,active,2026-02-21,240,True,16800,9075.64,6130.03,15205.67,1594.33,0.535,0.39,0.104,8289.75,6553.59,1751.25,200.0,6.67,280.0,160.0,86.63,675.4,23.1,4,0,1,0,0,2025-06-21,fault_alert,fault_alert
LAB-154,EDOMEX - ECATEPEC,proteccion_basica,470000,16800,44,2,0,2,active,2026-02-12,240,False,16800,9917.36,8114.35,18031.71,0.0,0.69,0.518,0.141,11863.31,8705.72,2362.97,278.92,9.3,280.0,143.16,48.13,909.4,30.2,1,0,0,0,0,2025-09-02,baseline,baseline
LAB-155,EDOMEX - ECATEPEC,proteccion_total,520000,19000,48,3,2,1,active,2025-11-26,365,True,19000,11179.23,5348.57,16527.8,2472.2,1.6,1.5,1.4,27245.47,28500.0,26600.0,3800.0,126.67,15.78,0.0,0.0,12829.5,509.7,4,0,1,1,0,2025-07-07,fault_alert,fault_alert
LAB-156,EDOMEX - ECATEPEC,proteccion_basica,470000,16800,44,2,1,1,expired,2026-03-12,240,True,16800,7461.77,265.11,7726.88,9073.12,1.6,1.5,1.4,24510.2,25200.0,23520.0,3800.0,126.67,4.7,5.71,3.78,11906.4,474.1,0,0,0,1,1,2025-06-09,delinquency,promesa_incumplida
LAB-157,EDOMEX - ECATEPEC,proteccion_total,520000,19000,48,3,2,1,active,2025-11-20,365,False,19000,7924.16,3990.25,11914.41,7085.59,0.405,0.292,0.065,8238.95,5544.09,1228.02,273.93,9.13,280.0,160.0,57.39,930.7,31.2,1,0,0,0,0,2025-07-13,delinquency,delinquency
LAB-158,EDOMEX - ECATEPEC,proteccion_ilimitada,610000,20500,60,4,1,3,active,2025-11-22,180,True,20500,11092.08,7153.86,18245.94,2254.06,0.1,0.075,0.075,2100.47,1528.93,1528.93,200.0,6.67,45.81,45.81,45.81,528.0,20.4,5,0,1,1,0,2025-08-28,fault_alert,fault_alert
LAB-159,EDOMEX - TLANEPANTLA,proteccion_light,360000,13500,36,1,1,0,active,2025-12-08,180,False,13500,6514.28,7903.85,14418.13,0.0,0.135,0.084,0.066,1932.04,1133.43,897.31,200.0,6.67,7.47,3.81,10.36,642.1,20.5,0,0,0,1,0,2025-07-31,baseline,baseline
LAB-160,EDOMEX - TLANEPANTLA,proteccion_caduca,455000,17200,40,2,0,2,active,2026-01-06,365,False,17200,7704.8,6473.07,14177.87,3022.13,0.475,0.364,0.243,8344.36,6253.36,4171.84,200.0,6.67,280.0,152.58,72.12,621.9,22.4,1,1,0,0,0,2025-06-26,consumption_gap,consumption_gap
LAB-161,AGUASCALIENTES,proteccion_caduca,455000,17200,40,2,1,1,active,2025-12-12,365,False,17200,8031.11,5462.9,13494.01,3705.99,0.579,0.221,0.116,8624.85,3800.67,1991.65,571.27,19.04,237.68,126.46,64.12,1893.1,64.9,1,1,0,0,0,2025-08-21,consumption_gap,consumption_gap
LAB-162,EDOMEX - ECATEPEC,proteccion_light,360000,13500,36,1,1,0,active,2026-03-29,180,False,13500,7757.1,5233.98,12991.08,508.92,0.106,0.066,0.054,1476.22,892.95,723.78,200.0,6.67,10.82,6.25,0.4,555.3,20.6,2,0,1,1,0,2025-07-25,fault_alert,fault_alert
LAB-163,EDOMEX - TLANEPANTLA,proteccion_basica,470000,16800,44,2,2,0,active,2025-12-07,240,False,16800,8344.13,6950.46,15294.59,1505.41,0.73,0.678,0.125,12655.55,11382.5,2107.89,276.57,9.22,280.0,131.01,36.41,837.9,30.5,2,1,0,0,0,2025-07-17,consumption_gap,consumption_gap
LAB-164,EDOMEX - ECATEPEC,proteccion_basica,470000,16800,44,2,1,1,active,2026-05-04,240,False,16800,6904.37,6503.63,13408.0,3392.0,0.18,0.123,0.075,3309.23,2063.07,1264.36,200.0,6.67,11.01,5.83,9.06,631.3,22.5,0,1,0,1,0,2025-08-06,consumption_gap,consumption_gap
LAB-165,EDOMEX - TLANEPANTLA,proteccion_ilimitada,610000,20500,60,4,4,0,active,2026-01-18,180,False,20500,13768.77,8260.92,22029.69,0.0,0.411,0.208,0.099,7470.46,4269.58,2024.27,361.81,12.06,280.0,133.17,66.34,1009.4,37.7,1,0,0,0,0,2025-06-28,baseline,baseline
LAB-166,AGUASCALIENTES,proteccion_caduca,455000,17200,40,2,2,0,active,2026-01-07,365,False,17200,8529.58,5614.42,14144.0,3056.0,0.341,0.248,0.196,5277.09,4272.6,3366.28,200.0,6.67,280.0,133.48,57.87,593.7,18.9,2,1,0,0,0,2025-07-13,consumption_gap,consumption_gap
