placa,outcomes_total,last_outcome_at,days_since_last_outcome,last_plan_type,last_protections_used,last_protections_allowed,last_plan_status,last_plan_valid_until,last_plan_reset_cycle_days,last_plan_requires_manual_review,protections_remaining,check_in_synthetic_protection_all,escalate_fault_check_synthetic_protection_all,investigate_consumption_synthetic_protection_all,offer_protection_synthetic_protection_all,payment_reminder_synthetic_protection_all,prepare_advance_payment_synthetic_protection_all,record_payment_promise_synthetic_protection_all,check_in_synthetic_protection_30d,escalate_fault_check_synthetic_protection_30d,investigate_consumption_synthetic_protection_30d,offer_protection_synthetic_protection_30d,payment_reminder_synthetic_protection_30d,prepare_advance_payment_synthetic_protection_30d,record_payment_promise_synthetic_protection_30d,check_in_synthetic_protection_90d,escalate_fault_check_synthetic_protection_90d,investigate_consumption_synthetic_protection_90d,offer_protection_synthetic_protection_90d,payment_reminder_synthetic_protection_90d,prepare_advance_payment_synthetic_protection_90d,record_payment_promise_synthetic_protection_90d,check_in_synthetic_protection_180d,escalate_fault_check_synthetic_protection_180d,investigate_consumption_synthetic_protection_180d,offer_protection_synthetic_protection_180d,payment_reminder_synthetic_protection_180d,prepare_advance_payment_synthetic_protection_180d,record_payment_promise_synthetic_protection_180d,last_behaviour_tags,last_behaviour_notes,protections_flag_negative,protections_flag_expired,protections_flag_manual
LAB-165,2,2025-12-21T23:48:27Z,0,proteccion_total,1,3,active,2026-04-03,365,False,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,,,False,False,False
LAB-166,2,2025-12-21T23:48:27Z,0,proteccion_caduca,1,2,active,2026-02-05,365,False,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,,,False,False,False
LAB-167,2,2025-12-21T23:48:27Z,0,proteccion_ilimitada,3,4,active,2025-12-24,180,False,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,,,False,False,False
LAB-168,2,2025-12-21T23:48:27Z,0,proteccion_basica,1,2,active,2026-05-04,240,False,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,,,False,False,False
LAB-171,2,2025-12-21T23:48:27Z,0,proteccion_total,2,3,active,2026-05-08,365,False,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,,,False,False,False
LAB-172,2,2025-12-21T23:48:27Z,0,proteccion_caduca,1,2,active,2026-01-13,365,False,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,,,False,False,False
LAB-173,2,2025-12-21T23:48:27Z,0,proteccion_total,2,3,active,2026-03-05,365,False,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,,,False,False,False
LAB-174,2,2025-12-21T23:48:27Z,0,proteccion_total,1,3,active,2026-01-15,365,True,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,,,False,False,True
LAB-175,2,2025-12-21T23:48:28Z,0,proteccion_light,0,1,active,2026-03-31,180,False,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,,,False,False,False
LAB-177,2,2025-12-21T23:48:28Z,0,proteccion_basica,1,2,active,2026-03-29,240,False,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,,,False,False,False
LAB-179,2,2025-12-21T23:48:28Z,0,proteccion_ilimitada,0,4,active,2026-01-14,180,False,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,,,False,False,False
LAB-180,2,2025-12-21T23:48:28Z,0,proteccion_light,0,1,active,2025-12-26,180,False,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,,,False,False,False
LAB-181,2,2025-12-21T23:48:28Z,0,proteccion_total,2,3,active,2026-01-05,365,False,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,,,False,False,False
LAB-183,2,2025-12-21T23:48:28Z,0,proteccion_total,2,3,active,2026-05-11,365,False,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,,,False,False,False
LAB-184,2,2025-12-21T23:48:28Z,0,proteccion_basica,0,2,active,2026-04-06,240,False,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,,,False,False,False
LAB-185,2,2025-12-21T23:48:28Z,0,proteccion_basica,1,2,active,2025-12-16,240,False,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,,,False,False,False
LAB-186,2,2025-12-21T23:48:28Z,0,proteccion_total,2,3,active,2026-03-11,365,False,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,,,False,False,False
LAB-187,2,2025-12-21T23:48:28Z,0,proteccion_total,0,3,active,2026-03-19,365,False,3,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,,,False,False,False
LAB-189,2,2025-12-21T23:48:28Z,0,proteccion_basica,0,2,active,2026-04-29,240,False,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,,,False,False,False
LAB-194,2,2025-12-21T23:48:28Z,0,proteccion_total,1,3,active,2026-03-12,365,False,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,,,False,False,False
LAB-195,2,2025-12-21T23:48:28Z,0,proteccion_basica,0,2,expired,2026-05-04,240,True,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,,,False,True,True
LAB-199,2,2025-12-21T23:48:29Z,0,proteccion_total,1,3,active,2026-03-16,365,True,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,,,False,False,True
