placa,market,plan_type,balance,payment,term_months,protections_allowed,protections_used,protections_remaining,contract_status,contract_valid_until,contract_reset_cycle_days,requires_manual_review,expected_payment,bank_transfer,cash_collection,observed_payment,arrears_amount,coverage_ratio_30d,coverage_ratio_14d,coverage_ratio_7d,gnv_credit_30d,gnv_credit_14d,gnv_credit_7d,litros_30d,avg_30d_litros,downtime_hours_30d,downtime_hours_14d,downtime_hours_7d,distance_km_30d,engine_hours_30d,driving_hours_30d,idling_hours_30d,fault_events_30d,idle_hours_ratio_30d,seatbelt_off_rate_30d,high_speed_ratio_30d,after_hours_distance_km_30d,after_hours_driving_hours_30d,after_hours_stop_hours_30d,after_hours_ratio_30d,safety_score,safety_alert,telemetry_health_score,telemetry_alert,idle_pressure_30d,high_speed_pressure_30d,seatbelt_pressure_30d,hase_consumption_gap_flag,hase_fault_alert_flag,hase_telemetry_ok_flag,has_recent_promise_break,last_protection_at,scenario,risk_story
LAB-059,EDOMEX - TLANEPANTLA,proteccion_caduca,455000,17200,40,2,0,2,active,2026-04-01,365,False,17200,10081.56,7353.69,17435.25,0.0,0.236,0.181,0.089,3790.23,3115.29,1537.25,206.62,6.89,190.23,143.9,69.14,577.6,25.2,19.01,8.05,2,0.424,0.314,0.217,149.9,6.97,27.22,0.26,0.752,0,0.141,1,0.706,0.571,0.873,0,0,0,0,2025-08-07,baseline,baseline
LAB-060,EDOMEX - ECATEPEC,proteccion_total,520000,19000,48,3,1,2,active,2026-01-31,365,False,19000,8207.93,6873.73,15081.66,3918.34,0.158,0.158,0.158,3163.98,3001.83,3001.83,200.0,6.67,76.43,76.43,76.43,657.7,27.5,26.13,6.3,0,0.241,0.315,0.405,179.1,9.69,12.63,0.272,0.926,1,0.323,1,0.402,1.0,0.876,1,0,1,0,2025-07-02,consumption_gap,consumption_gap
LAB-061,EDOMEX - ECATEPEC,proteccion_total,520000,19000,48,3,0,3,active,2026-02-01,365,False,19000,11493.43,8860.83,20354.26,0.0,0.1,0.079,0.079,1648.08,1502.24,1502.24,200.0,6.67,22.48,22.48,22.48,542.1,20.8,18.35,8.05,0,0.439,0.264,0.206,68.1,2.97,24.94,0.126,0.656,0,0.436,0,0.731,0.542,0.732,0,0,1,0,2025-08-21,baseline,baseline
LAB-062,EDOMEX - ECATEPEC,proteccion_light,360000,13500,36,1,1,-1,active,2026-01-22,180,True,13500,6073.05,2138.05,8211.1,5288.9,1.325,0.579,0.314,15633.67,7819.32,4244.94,1200.66,40.02,130.42,69.38,35.64,3820.8,141.9,123.9,35.44,0,0.286,0.325,0.346,1268.4,27.71,39.5,0.332,0.905,0,0.213,1,0.477,0.91,0.902,0,0,1,1,2025-09-09,delinquency,proteccion_negativa
LAB-063,EDOMEX - TLANEPANTLA,proteccion_caduca,455000,17200,40,2,2,0,active,2025-12-16,365,False,17200,11580.03,5081.75,16661.78,538.22,1.6,0.776,0.373,24053.14,13350.26,6418.02,1262.51,42.08,94.81,41.33,20.35,3437.6,132.6,123.94,17.23,0,0.139,0.288,0.252,881.5,13.9,34.09,0.256,0.745,0,0.391,1,0.232,0.662,0.801,0,0,1,0,2025-09-24,baseline,baseline
LAB-064,EDOMEX - TLANEPANTLA,proteccion_caduca,455000,17200,40,2,1,1,active,2026-04-22,365,True,17200,8733.96,7844.09,16578.05,621.95,0.1,0.05,0.02,1501.89,860.0,344.0,200.0,6.67,11.77,11.77,11.77,583.1,22.5,19.99,7.81,2,0.391,0.283,0.304,263.5,4.57,16.77,0.452,0.791,0,0.448,0,0.651,0.801,0.785,0,1,1,0,2025-10-03,fault_alert,fault_alert
LAB-065,EDOMEX - ECATEPEC,proteccion_total,520000,19000,48,3,2,1,active,2026-04-21,365,False,19000,12459.76,6574.55,19034.31,0.0,0.475,0.218,0.104,7988.91,4149.62,1981.11,434.24,14.47,280.0,131.22,65.55,1356.1,58.4,49.96,21.74,1,0.435,0.376,0.132,187.5,8.86,34.24,0.138,0.739,1,0.142,1,0.725,0.349,1.0,0,0,0,0,2025-08-15,baseline,baseline
LAB-066,EDOMEX - ECATEPEC,proteccion_caduca,455000,17200,40,2,1,1,active,2026-04-02,365,False,17200,6111.43,6958.71,13070.14,4129.86,0.1,0.05,0.027,1720.67,860.0,468.9,200.0,6.67,23.53,23.53,23.53,597.8,27.2,23.15,9.09,0,0.393,0.192,0.251,176.3,4.51,28.88,0.295,0.584,0,0.456,0,0.655,0.66,0.533,1,0,1,0,2025-08-15,consumption_gap,consumption_gap
LAB-067,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,2,1,active,2026-02-22,365,False,19000,9558.32,10701.12,20259.44,0.0,0.1,0.05,0.02,1696.68,950.0,380.0,200.0,6.67,11.8,11.8,11.8,662.4,29.0,24.27,11.09,0,0.457,0.333,0.439,315.3,4.09,35.18,0.476,0.955,1,0.387,1,0.761,1.0,0.925,0,0,1,0,2025-10-01,baseline,baseline
LAB-068,EDOMEX - TLANEPANTLA,proteccion_basica,470000,16800,44,2,0,2,active,2026-02-21,240,False,16800,8125.71,9713.15,17838.86,0.0,0.113,0.113,0.113,1789.3,1903.13,1903.13,200.0,6.67,78.34,78.34,78.34,528.8,22.5,19.95,6.78,0,0.34,0.259,0.291,110.3,2.69,12.3,0.209,0.737,0,0.305,1,0.566,0.766,0.718,0,0,1,0,2025-08-09,baseline,baseline
LAB-069,EDOMEX - ECATEPEC,proteccion_caduca,455000,17200,40,2,1,1,active,2026-05-30,365,False,17200,9700.14,5869.51,15569.65,1630.35,0.482,0.25,0.129,9105.79,4306.57,2214.65,422.34,14.08,280.0,128.79,64.11,1113.0,47.6,41.52,19.16,2,0.462,0.322,0.344,250.5,18.37,27.95,0.225,0.898,0,0.104,1,0.769,0.904,0.893,0,1,0,0,2025-09-01,fault_alert,fault_alert
LAB-070,EDOMEX - TLANEPANTLA,proteccion_light,360000,13500,36,1,0,1,active,2026-02-11,180,False,13500,7158.66,6005.42,13164.08,-1493.51,0.631,0.294,0.158,8500.97,3965.87,2136.13,495.73,16.52,255.0,120.2,60.1,1431.2,62.8,53.28,18.54,1,0.348,0.263,0.177,376.2,11.47,26.04,0.263,0.626,0,0.212,1,0.58,0.467,0.731,0,0,0,0,2025-08-05,baseline,baseline
LAB-071,EDOMEX - TLANEPANTLA,proteccion_basica,470000,16800,44,2,1,1,active,2026-05-09,240,False,16800,9150.09,7016.6,16166.69,633.31,0.1,0.05,0.02,1731.71,840.0,336.0,200.0,6.67,11.82,11.82,11.82,582.3,27.8,22.83,8.95,0,0.392,0.281,0.245,201.6,7.06,34.76,0.346,0.727,0,0.46,0,0.653,0.646,0.781,0,0,1,0,2025-07-07,baseline,baseline
LAB-072,EDOMEX - ECATEPEC,proteccion_ilimitada,610000,20500,60,4,4,0,active,2026-02-15,180,False,20500,7193.94,8339.08,15533.02,4966.98,0.454,0.221,0.117,9498.33,4531.95,2394.15,356.62,11.89,280.0,132.49,65.64,1087.7,57.3,44.97,19.19,1,0.427,0.167,0.36,311.1,16.88,21.23,0.286,0.657,0,0.164,1,0.711,0.947,0.464,1,0,0,0,2025-08-15,consumption_gap,consumption_gap
LAB-073,EDOMEX - ECATEPEC,proteccion_total,520000,19000,48,3,2,1,active,2026-03-28,365,False,19000,12230.81,7045.77,19276.58,0.0,1.6,1.5,1.4,33177.16,28500.0,26600.0,3800.0,126.67,5.68,0.0,0.0,12809.3,472.5,427.13,142.63,0,0.334,0.291,0.158,4373.4,114.73,30.58,0.341,0.652,0,0.714,0,0.557,0.416,0.809,0,0,1,0,2025-08-29,baseline,baseline
LAB-074,EDOMEX - ECATEPEC,proteccion_basica,470000,16800,44,2,0,2,active,2026-05-29,240,False,16800,8057.28,9638.46,17695.74,0.0,0.367,0.268,0.146,5677.74,4497.24,2450.7,334.63,11.15,200.89,133.13,63.13,951.4,33.4,31.59,9.71,1,0.307,0.199,0.387,194.0,10.55,23.07,0.204,0.731,1,0.205,1,0.512,1.0,0.552,0,0,0,0,2025-08-25,baseline,baseline
LAB-075,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,1,2,active,2026-06-03,365,False,19000,9445.25,9454.78,18900.03,-2209.94,0.458,0.22,0.11,8273.45,4174.22,2097.29,403.04,13.43,280.0,130.34,65.05,1308.7,45.6,42.46,15.06,2,0.355,0.451,0.289,262.0,10.65,9.44,0.2,0.904,1,0.143,1,0.591,0.761,1.0,0,0,0,0,2025-07-06,baseline,baseline
LAB-076,EDOMEX - ECATEPEC,proteccion_total,520000,19000,48,3,3,0,active,2026-02-27,365,False,19000,7796.71,9884.65,17681.36,1318.64,0.1,0.1,0.1,1636.43,1895.84,1895.84,200.0,6.67,22.41,22.41,22.41,669.7,24.3,22.43,3.17,0,0.142,0.403,0.337,162.3,9.43,30.7,0.242,0.954,1,0.505,0,0.236,0.886,1.0,1,0,1,0,2025-10-05,consumption_gap,consumption_gap
LAB-077,AGUASCALIENTES,proteccion_ilimitada,610000,20500,60,4,4,0,active,2026-05-18,180,False,20500,10195.49,10041.83,20237.32,262.68,1.397,0.673,0.333,25010.88,13804.35,6822.72,1104.44,36.81,113.93,56.24,27.97,3637.9,163.2,125.64,59.22,0,0.471,0.312,0.192,1009.8,47.56,29.83,0.278,0.722,0,0.193,1,0.786,0.504,0.867,0,0,1,0,2025-07-04,baseline,baseline
LAB-078,EDOMEX - ECATEPEC,proteccion_light,360000,13500,36,1,1,0,active,2026-01-19,180,False,13500,7615.36,5887.67,13503.03,0.0,0.127,0.127,0.127,1631.27,1720.97,1720.97,200.0,6.67,10.47,10.47,10.47,534.4,28.0,21.77,6.11,0,0.281,0.248,0.407,120.6,3.38,16.23,0.226,0.813,1,0.515,0,0.468,1.0,0.688,0,0,1,0,2025-08-20,baseline,baseline
LAB-079,EDOMEX - ECATEPEC,proteccion_ilimitada,610000,20500,60,4,3,1,expired,2026-05-27,180,True,20500,5311.35,2367.11,7678.46,12821.54,0.1,0.05,0.02,1821.22,1025.0,410.0,200.0,6.67,23.83,23.83,23.83,530.1,25.5,20.9,9.37,0,0.448,0.327,0.303,175.6,7.95,32.71,0.331,0.865,0,0.373,1,0.747,0.798,0.909,0,0,1,1,2025-09-18,delinquency,promesa_incumplida
LAB-080,AGUASCALIENTES,proteccion_basica,470000,16800,44,2,0,2,expired,2026-05-24,240,True,16800,4948.9,7405.59,12354.49,4445.51,0.974,0.448,0.213,16116.69,7529.65,3573.11,1070.13,35.67,196.7,96.55,47.8,2938.8,139.5,111.98,40.56,2,0.362,0.337,0.368,1015.3,17.82,45.47,0.345,0.95,0,0.152,1,0.604,0.97,0.937,0,0,1,1,2025-08-21,delinquency,promesa_incumplida
LAB-081,EDOMEX - TLANEPANTLA,proteccion_ilimitada,610000,20500,60,4,4,0,active,2026-02-24,180,False,20500,11674.48,8924.53,20599.01,-1875.89,0.333,0.209,0.098,6198.64,4274.9,2012.68,309.12,10.3,211.83,133.9,65.58,961.4,53.1,39.47,11.4,1,0.289,0.27,0.262,237.9,15.31,33.93,0.247,0.726,0,0.204,1,0.481,0.691,0.749,0,0,0,0,2025-08-07,baseline,baseline
LAB-082,EDOMEX - ECATEPEC,proteccion_caduca,455000,17200,40,2,1,1,active,2026-01-15,365,False,17200,7216.0,7963.1,15179.1,2020.9,0.1,0.057,0.057,1750.9,984.13,984.13,200.0,6.67,46.09,46.09,46.09,673.7,29.8,25.33,10.45,0,0.412,0.29,0.214,97.0,4.44,37.81,0.144,0.709,0,0.363,1,0.687,0.563,0.807,1,0,1,0,2025-08-09,consumption_gap,consumption_gap
LAB-083,EDOMEX - ECATEPEC,proteccion_light,360000,13500,36,1,1,0,active,2026-02-16,180,False,13500,6135.98,4962.98,11098.96,2401.04,0.156,0.156,0.14,2296.05,2108.38,1887.73,200.0,6.67,88.13,88.13,76.33,544.7,24.4,21.46,6.66,5,0.311,0.295,0.327,194.9,3.46,22.31,0.358,0.836,0,0.274,1,0.518,0.861,0.819,0,1,1,0,2025-09-10,fault_alert,fault_alert
LAB-084,EDOMEX - ECATEPEC,proteccion_basica,470000,16800,44,2,0,2,active,2026-01-11,240,False,16800,6114.97,8101.6,14216.57,2583.43,1.509,0.654,0.317,26499.51,10990.76,5331.25,1186.89,39.56,86.15,50.33,25.66,3796.1,151.4,127.79,53.08,0,0.415,0.251,0.397,1188.3,33.69,23.68,0.313,0.818,1,0.276,1,0.692,1.0,0.696,1,0,1,0,2025-07-27,consumption_gap,consumption_gap
LAB-085,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,1,2,active,2026-04-24,365,False,19000,10634.4,8163.92,18798.32,201.68,0.1,0.05,0.046,1727.1,950.0,870.78,200.0,6.67,34.95,34.95,34.95,642.1,25.2,21.05,7.4,0,0.351,0.172,0.215,12.8,8.66,44.34,0.02,0.513,0,0.458,0,0.586,0.566,0.478,0,0,1,0,2025-08-25,baseline,baseline
LAB-086,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,0,3,active,2026-05-04,365,False,19000,10897.99,8158.2,19056.19,0.0,0.151,0.151,0.094,2827.88,2862.11,1780.37,200.0,6.67,120.95,120.95,74.67,653.9,29.5,26.41,10.71,0,0.405,0.187,0.239,282.2,10.87,20.57,0.432,0.563,0,0.187,1,0.676,0.629,0.519,0,0,0,0,2025-09-14,baseline,baseline
LAB-087,EDOMEX - TLANEPANTLA,proteccion_ilimitada,610000,20500,60,4,3,1,active,2026-02-02,180,False,20500,12079.63,8185.01,20264.64,235.36,0.144,0.144,0.144,2661.49,2961.17,2961.17,200.0,6.67,32.49,32.49,32.49,529.3,20.2,17.27,7.26,0,0.42,0.25,0.253,189.0,6.64,18.59,0.357,0.683,0,0.422,0,0.7,0.666,0.695,0,0,1,0,2025-09-27,baseline,baseline
LAB-088,EDOMEX - TLANEPANTLA,proteccion_caduca,455000,17200,40,2,2,0,active,2026-01-17,365,False,17200,8927.69,9568.97,18496.66,0.0,0.982,0.667,0.338,16164.52,11476.52,5816.21,813.85,27.13,140.43,70.18,28.3,2397.6,119.3,93.03,37.02,0,0.398,0.287,0.202,368.7,9.44,30.85,0.154,0.692,0,0.214,1,0.663,0.532,0.798,0,0,1,0,2025-10-08,baseline,baseline
LAB-089,EDOMEX - TLANEPANTLA,proteccion_basica,470000,16800,44,2,1,1,active,2026-02-20,240,False,16800,7019.18,7748.81,14767.99,2032.01,0.432,0.212,0.123,7530.06,3564.66,2064.71,380.14,12.67,280.0,135.77,67.2,1101.4,48.2,43.5,11.64,2,0.268,0.205,0.205,289.2,14.86,47.32,0.263,0.557,0,0.252,1,0.446,0.54,0.569,0,1,0,0,2025-09-16,fault_alert,fault_alert
LAB-090,AGUASCALIENTES,proteccion_light,360000,13500,36,1,1,0,active,2026-02-20,180,False,13500,5664.03,6400.19,12064.22,1435.78,1.406,0.681,0.339,17088.56,9189.39,4579.56,1407.56,46.92,122.57,57.99,28.01,3868.4,161.4,141.98,57.72,2,0.407,0.275,0.277,1194.6,27.82,18.19,0.309,0.75,0,0.198,1,0.678,0.729,0.764,0,1,1,0,2025-09-19,fault_alert,fault_alert
LAB-091,EDOMEX - TLANEPANTLA,proteccion_basica,470000,16800,44,2,0,2,active,2026-04-27,240,False,16800,8240.15,9115.97,17356.12,0.0,0.658,0.307,0.141,9978.17,5149.42,2369.57,559.58,18.65,254.23,114.3,56.08,1865.6,81.2,62.28,12.58,2,0.202,0.311,0.379,294.8,19.72,38.4,0.158,0.917,0,0.211,1,0.337,0.999,0.863,0,0,1,0,2025-07-08,baseline,baseline
LAB-092,EDOMEX - TLANEPANTLA,proteccion_light,360000,13500,36,1,1,0,active,2026-01-24,180,False,13500,9033.79,4716.9,13750.69,0.0,0.52,0.52,0.376,7413.48,7026.15,5071.68,450.24,15.01,87.14,87.14,54.64,1440.5,60.1,55.37,11.4,0,0.206,0.291,0.296,571.8,13.19,39.48,0.397,0.797,0,0.376,1,0.343,0.778,0.809,0,0,1,0,2025-07-28,baseline,baseline
LAB-093,EDOMEX - ECATEPEC,proteccion_light,360000,13500,36,1,1,0,active,2026-04-28,180,False,13500,6711.29,7509.34,14220.63,0.0,0.231,0.231,0.125,3220.02,3124.84,1692.7,212.0,7.07,148.19,148.19,69.12,706.9,26.4,22.88,8.0,0,0.35,0.396,0.387,148.7,5.59,43.02,0.21,1.0,1,0.129,1,0.583,1.0,1.0,0,0,0,0,2025-09-02,baseline,baseline
LAB-094,AGUASCALIENTES,proteccion_ilimitada,610000,20500,60,4,4,0,active,2026-02-22,180,True,20500,9435.41,10122.38,19557.79,942.21,1.533,0.739,0.356,29360.66,15155.27,7304.02,1531.69,51.06,106.65,38.98,19.32,4725.4,214.5,165.17,21.27,5,0.129,0.198,0.232,1069.0,45.17,10.21,0.226,0.574,0,0.392,1,0.215,0.611,0.55,0,1,1,0,2025-09-01,fault_alert,fault_alert
LAB-095,EDOMEX - ECATEPEC,proteccion_total,520000,19000,48,3,3,0,active,2026-05-23,365,False,19000,7628.93,9914.18,17543.11,1456.89,1.6,1.5,1.4,31510.12,28500.0,26600.0,3800.0,126.67,13.46,0.0,0.0,12572.5,596.0,492.82,197.39,0,0.401,0.43,0.182,3776.3,214.61,36.4,0.3,0.792,1,0.635,0,0.668,0.48,1.0,1,0,1,0,2025-07-28,consumption_gap,consumption_gap
LAB-096,EDOMEX - ECATEPEC,proteccion_basica,470000,16800,44,2,0,2,active,2026-01-02,240,False,16800,10249.84,6150.31,16400.15,399.85,0.522,0.211,0.117,9238.13,3553.01,1973.13,450.17,15.01,274.9,128.77,65.39,1296.3,50.5,46.21,21.72,2,0.47,0.296,0.263,294.5,7.36,16.47,0.227,0.77,0,0.124,1,0.783,0.692,0.821,0,0,0,0,2025-10-04,baseline,baseline
LAB-097,EDOMEX - TLANEPANTLA,proteccion_ilimitada,610000,20500,60,4,1,3,active,2026-04-23,180,False,20500,9904.28,11775.35,21679.63,0.0,0.502,0.224,0.123,10737.29,4600.22,2516.1,426.9,14.23,275.99,130.38,65.08,1325.4,54.5,43.92,13.53,2,0.308,0.201,0.268,492.3,11.58,14.79,0.371,0.618,0,0.223,1,0.513,0.705,0.56,0,0,0,0,2025-09-26,baseline,baseline
LAB-098,EDOMEX - ECATEPEC,proteccion_caduca,455000,17200,40,2,0,2,active,2026-02-07,365,False,17200,10690.01,7564.92,18254.93,-1781.09,1.6,1.034,0.453,25508.74,17780.59,7784.6,2026.53,67.55,0.0,0.0,0.0,5620.2,258.0,194.99,44.11,0,0.226,0.254,0.381,1927.1,61.94,32.41,0.343,0.823,1,0.632,0,0.377,1.0,0.706,0,0,1,0,2025-09-28,baseline,baseline
LAB-099,AGUASCALIENTES,proteccion_light,360000,13500,36,1,1,0,active,2026-05-28,180,False,13500,4924.99,6406.47,11331.46,2168.54,1.415,0.661,0.311,18190.9,8918.65,4196.51,1413.74,47.12,122.94,52.9,24.85,3773.8,174.6,147.66,57.21,0,0.387,0.261,0.309,567.8,40.57,32.79,0.15,0.76,0,0.199,1,0.646,0.813,0.725,1,0,1,0,2025-08-22,consumption_gap,consumption_gap
LAB-100,EDOMEX - ECATEPEC,proteccion_light,360000,13500,36,1,1,0,active,2026-03-16,180,False,13500,4919.0,6598.36,11517.36,1982.64,0.1,0.056,0.056,1310.04,761.56,761.56,200.0,6.67,46.55,46.55,46.55,667.5,28.9,24.31,11.34,0,0.466,0.192,0.325,254.7,3.24,8.02,0.382,0.663,0,0.348,1,0.777,0.856,0.535,1,0,1,0,2025-07-25,consumption_gap,consumption_gap
LAB-101,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,1,2,active,2026-06-04,365,False,19000,7236.28,10589.81,17826.09,1173.91,0.27,0.198,0.1,4569.5,3761.28,1899.25,244.48,8.15,210.21,141.1,67.82,758.2,35.8,28.85,7.74,2,0.268,0.294,0.17,248.5,7.93,38.24,0.328,0.668,0,0.225,1,0.447,0.446,0.815,1,0,0,0,2025-09-19,consumption_gap,consumption_gap
LAB-102,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,1,2,active,2026-06-02,365,False,19000,9798.64,9690.0,19488.64,0.0,0.1,0.05,0.021,2085.38,950.0,402.62,200.0,6.67,23.64,23.64,23.64,604.3,27.8,21.22,9.67,0,0.456,0.361,0.349,116.0,4.37,25.59,0.192,0.967,1,0.352,1,0.76,0.919,1.0,0,0,1,0,2025-07-11,baseline,baseline
LAB-103,AGUASCALIENTES,proteccion_caduca,455000,17200,40,2,0,2,active,2026-04-23,365,False,17200,9119.66,8444.06,17563.72,0.0,1.6,0.808,0.412,26869.86,13903.5,7084.74,1471.43,49.05,58.22,20.93,13.79,4575.2,217.1,170.35,40.9,0,0.24,0.253,0.305,1683.2,67.74,25.85,0.368,0.742,0,0.464,0,0.4,0.802,0.702,0,0,1,0,2025-08-16,baseline,baseline
LAB-104,EDOMEX - ECATEPEC,proteccion_total,520000,19000,48,3,2,1,active,2026-05-17,365,False,19000,9390.76,10279.25,19670.01,0.0,0.1,0.05,0.034,1645.85,950.0,643.23,200.0,6.67,35.15,35.15,35.15,528.8,19.9,18.84,8.02,0,0.426,0.312,0.206,182.7,4.8,10.87,0.346,0.736,0,0.38,1,0.709,0.543,0.866,0,0,1,0,2025-10-10,baseline,baseline
LAB-105,EDOMEX - ECATEPEC,proteccion_total,520000,19000,48,3,1,2,active,2026-03-17,365,False,19000,6410.09,1665.29,8075.38,10924.62,0.456,0.229,0.108,7800.37,4346.23,2059.24,403.06,13.44,280.0,130.94,65.01,1260.8,53.3,43.37,20.08,1,0.463,0.178,0.355,581.1,9.8,16.98,0.461,0.671,0,0.144,1,0.772,0.934,0.495,0,0,0,1,2025-08-28,delinquency,promesa_incumplida
LAB-106,AGUASCALIENTES,proteccion_light,360000,13500,36,1,1,0,active,2026-01-16,180,False,13500,7588.4,5133.21,12721.61,778.39,1.088,0.528,0.273,12861.65,7128.8,3686.87,1108.4,36.95,185.06,80.24,40.13,3303.1,131.5,117.03,15.84,4,0.135,0.253,0.195,1074.5,18.94,40.98,0.325,0.628,0,0.323,1,0.226,0.514,0.703,0,1,1,0,2025-10-10,fault_alert,fault_alert
LAB-107,EDOMEX - ECATEPEC,proteccion_ilimitada,610000,20500,60,4,3,1,expired,2026-03-13,180,True,20500,4161.77,10834.18,14995.95,5504.05,0.724,0.322,0.161,16218.64,6610.86,3306.55,530.82,17.69,240.76,111.43,56.32,1764.8,69.6,57.31,8.49,2,0.148,0.113,0.387,35.3,14.1,30.87,0.02,0.588,1,0.303,1,0.247,1.0,0.314,0,0,1,0,2025-07-17,delinquency,delinquency
LAB-108,EDOMEX - TLANEPANTLA,proteccion_basica,470000,16800,44,2,1,1,active,2026-01-02,240,False,16800,11631.73,5929.41,17561.14,0.0,0.1,0.05,0.02,1501.42,840.0,336.0,200.0,6.67,11.83,11.83,11.83,555.1,27.2,20.37,7.83,0,0.384,0.207,0.416,153.6,8.11,17.67,0.277,0.745,1,0.459,0,0.64,1.0,0.575,0,0,1,0,2025-07-09,baseline,baseline
LAB-109,EDOMEX - ECATEPEC,proteccion_light,360000,13500,36,1,0,1,active,2026-02-11,180,False,13500,3208.27,2113.45,5321.72,8178.28,0.213,0.213,0.112,2933.71,2880.29,1514.77,200.0,6.67,138.08,138.08,70.32,574.4,28.0,23.45,9.18,0,0.391,0.303,0.18,123.3,6.61,41.71,0.215,0.694,0,0.171,1,0.652,0.473,0.841,0,0,0,0,2025-09-30,delinquency,delinquency
LAB-110,AGUASCALIENTES,proteccion_basica,470000,16800,44,2,2,0,active,2026-02-08,240,False,16800,8201.3,9260.27,17461.57,-1177.03,1.055,0.476,0.232,15690.34,7999.01,3898.93,1056.36,35.21,175.77,83.63,42.42,3119.3,139.9,115.96,25.59,0,0.221,0.294,0.423,455.3,38.03,12.35,0.146,0.89,1,0.226,1,0.368,1.0,0.817,0,0,1,0,2025-09-16,baseline,baseline
LAB-111,AGUASCALIENTES,proteccion_basica,470000,16800,44,2,2,0,active,2026-01-30,240,False,16800,7989.53,7232.75,15222.28,1577.72,1.233,0.566,0.28,20674.4,9500.77,4708.23,1119.74,37.32,148.34,71.29,35.63,2930.9,122.5,106.17,28.84,3,0.272,0.206,0.331,980.5,11.44,32.05,0.335,0.693,0,0.254,1,0.453,0.872,0.573,0,1,1,0,2025-08-08,fault_alert,fault_alert
LAB-112,EDOMEX - TLANEPANTLA,proteccion_ilimitada,610000,20500,60,4,0,4,expired,2026-04-29,180,True,20500,4317.02,7418.59,11735.61,8764.39,0.545,0.234,0.118,11031.72,4802.23,2420.18,457.59,15.25,265.72,125.87,63.62,1243.4,63.5,47.18,5.94,1,0.126,0.221,0.387,425.9,12.64,47.12,0.343,0.769,1,0.267,1,0.21,1.0,0.615,0,0,0,0,2025-09-14,delinquency,delinquency
LAB-113,AGUASCALIENTES,proteccion_total,520000,19000,48,3,0,3,active,2025-12-17,365,False,19000,12968.0,6322.96,19290.96,0.0,0.606,0.295,0.163,10524.35,5596.08,3092.62,665.45,22.18,262.88,119.95,59.82,1998.8,78.9,66.59,14.69,2,0.221,0.132,0.318,464.1,29.42,15.46,0.232,0.555,0,0.28,1,0.368,0.838,0.366,0,0,1,0,2025-09-02,baseline,baseline
LAB-114,EDOMEX - ECATEPEC,proteccion_total,520000,19000,48,3,2,1,active,2025-12-18,365,False,19000,7339.02,9475.27,16814.29,2185.71,0.204,0.204,0.095,3555.66,3882.28,1804.29,200.0,6.67,148.86,148.86,70.31,576.8,27.6,21.81,6.28,0,0.288,0.205,0.234,199.6,3.81,44.0,0.346,0.589,0,0.231,1,0.48,0.617,0.57,1,0,0,0,2025-08-22,consumption_gap,consumption_gap
LAB-115,EDOMEX - ECATEPEC,proteccion_total,520000,19000,48,3,1,2,active,2025-12-14,365,False,19000,12098.78,6274.18,18372.96,627.04,0.106,0.106,0.101,2185.98,2016.16,1921.32,200.0,6.67,151.26,151.26,79.43,617.0,26.9,21.3,10.17,0,0.477,0.391,0.323,196.2,6.1,15.12,0.318,0.94,1,0.083,1,0.796,0.85,1.0,0,0,0,0,2025-07-09,baseline,baseline
LAB-116,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,3,0,active,2025-12-19,365,False,19000,9064.18,9579.23,18643.41,356.59,0.539,0.248,0.134,8785.6,4715.55,2540.54,492.02,16.4,274.94,125.98,63.16,1389.2,63.8,54.8,14.17,2,0.259,0.159,0.24,445.6,5.96,16.08,0.321,0.517,0,0.266,1,0.431,0.631,0.441,0,0,0,0,2025-07-09,baseline,baseline
LAB-117,EDOMEX - TLANEPANTLA,proteccion_basica,470000,16800,44,2,0,2,active,2025-12-17,240,False,16800,10810.55,6819.68,17630.23,0.0,0.51,0.249,0.136,9208.44,4189.72,2278.08,415.58,13.85,273.6,128.68,63.56,1224.9,53.9,41.71,9.64,2,0.231,0.24,0.177,532.0,15.41,11.73,0.434,0.586,0,0.264,1,0.385,0.467,0.666,0,0,0,0,2025-07-25,baseline,baseline
LAB-118,AGUASCALIENTES,proteccion_caduca,455000,17200,40,2,0,2,active,2025-12-21,365,False,17200,8967.6,4269.12,13236.72,3963.28,0.734,0.337,0.158,11603.09,5793.88,2723.4,597.69,19.92,234.82,109.01,54.76,1752.0,85.4,72.11,15.54,2,0.215,0.317,0.286,501.5,14.03,43.75,0.286,0.83,0,0.226,1,0.359,0.752,0.882,1,0,1,0,2025-08-21,consumption_gap,consumption_gap
LAB-119,EDOMEX - TLANEPANTLA,proteccion_total,520000,19000,48,3,1,2,active,2026-02-05,365,False,19000,9271.06,9648.21,18919.27,80.73,0.1,0.059,0.059,1811.37,1125.74,1125.74,200.0,6.67,46.15,46.15,46.15,651.8,33.9,25.27,10.17,0,0.402,0.307,0.248,159.6,7.18,14.8,0.245,0.774,0,0.355,1,0.671,0.653,0.854,0,0,1,0,2025-08-13,baseline,baseline
