placa,alert_type,severity,details,triggered_at,code,diagnostic_id
PCD3001,safety,high,Seatbelt 0.34 | Alta velocidad 0.50,2025-05-29T00:00:00,,
A04511A,safety,high,Seatbelt 0.48 | Alta velocidad 0.39,2025-06-02T00:00:00,,
MMJ562A,downtime,high,214.7 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-06-02T00:00:00,,
MMJ562A,safety,high,Seatbelt 0.36 | Alta velocidad 0.39,2025-06-02T00:00:00,,
A28124E,downtime,high,164.3 h sin movimiento en 30d | Cobertura 14d: 0.11,2025-06-05T00:00:00,,
NYR2020,downtime,high,125.1 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-06-05T00:00:00,,
NYR2020,telemetry,high,Salud de telemetría 0.40,2025-06-05T00:00:00,,
A0089L,downtime,high,133.3 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-06-06T00:00:00,,
NA000011,downtime,high,190.6 h sin movimiento en 30d | Cobertura 14d: 1.00,2025-06-07T00:00:00,,
NA000011,telemetry,high,Salud de telemetría 0.34,2025-06-07T00:00:00,,
A2988C,downtime,high,176.1 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-06-08T00:00:00,,
MDX643A,downtime,high,125.4 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-06-08T00:00:00,,
MDX643A,telemetry,high,Salud de telemetría 0.39,2025-06-08T00:00:00,,
T07BAW,downtime,high,203.4 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-06-08T00:00:00,,
B73AVH,safety,high,Seatbelt 0.40 | Alta velocidad 0.41,2025-06-10T00:00:00,,
8163JES,downtime,high,192.2 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-06-11T00:00:00,,
8163JES,telemetry,high,Salud de telemetría 0.34,2025-06-11T00:00:00,,
A7861A,safety,high,Seatbelt 0.50 | Alta velocidad 0.41,2025-06-12T00:00:00,,
3866GMK,downtime,high,125.0 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-06-14T00:00:00,,
A24630E,safety,high,Seatbelt 0.37 | Alta velocidad 0.47,2025-06-16T00:00:00,,
X21BBW,downtime,high,164.1 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-06-17T00:00:00,,
X21BBW,safety,high,Seatbelt 0.35 | Alta velocidad 0.52,2025-06-17T00:00:00,,
X21BBW,telemetry,high,Salud de telemetría 0.35,2025-06-17T00:00:00,,
2000705,downtime,high,172.9 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-06-18T00:00:00,,
2000705,telemetry,high,Salud de telemetría 0.40,2025-06-18T00:00:00,,
A0028N,safety,high,Seatbelt 0.34 | Alta velocidad 0.45,2025-06-18T00:00:00,,
A0921D,safety,high,Seatbelt 0.50 | Alta velocidad 0.43,2025-06-19T00:00:00,,
B49BEB,downtime,high,142.1 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-06-19T00:00:00,,
B49BEB,telemetry,high,Salud de telemetría 0.30,2025-06-19T00:00:00,,
S4078349,downtime,high,181.8 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-06-19T00:00:00,,
A7642C,downtime,high,193.6 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-06-20T00:00:00,,
A3864B,safety,high,Seatbelt 0.47 | Alta velocidad 0.36,2025-06-23T00:00:00,,
A3864B,telemetry,high,Salud de telemetría 0.36,2025-06-23T00:00:00,,
0NXA9936,downtime,high,144.4 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-06-24T00:00:00,,
A4981E,downtime,high,163.4 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-06-24T00:00:00,,
A4981E,telemetry,high,Salud de telemetría 0.28,2025-06-24T00:00:00,,
A3606J,downtime,high,137.3 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-06-26T00:00:00,,
A5026G,safety,high,Seatbelt 0.50 | Alta velocidad 0.50,2025-06-26T00:00:00,,
K74BDK,safety,high,Seatbelt 0.35 | Alta velocidad 0.46,2025-06-27T00:00:00,,
CR5759,downtime,high,178.5 h sin movimiento en 30d | Cobertura 14d: 1.00,2025-06-30T00:00:00,,
CR5759,safety,high,Seatbelt 0.43 | Alta velocidad 0.50,2025-06-30T00:00:00,,
CR5759,telemetry,high,Salud de telemetría 0.35,2025-06-30T00:00:00,,
NPD9651,downtime,high,165.1 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-06-30T00:00:00,,
NPD9651,telemetry,high,Salud de telemetría 0.36,2025-06-30T00:00:00,,
A1861G,downtime,high,182.8 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-01T00:00:00,,
CR5818,downtime,high,176.3 h sin movimiento en 30d | Cobertura 14d: 1.00,2025-07-02T00:00:00,,
CR5818,telemetry,high,Salud de telemetría 0.35,2025-07-02T00:00:00,,
NYT3731,safety,high,Seatbelt 0.45 | Alta velocidad 0.41,2025-07-02T00:00:00,,
CR5729,downtime,high,131.3 h sin movimiento en 30d | Cobertura 14d: 1.00,2025-07-05T00:00:00,,
PDM6702,downtime,high,181.1 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-05T00:00:00,,
A04610A,safety,high,Seatbelt 0.37 | Alta velocidad 0.40,2025-07-06T00:00:00,,
NTJ047A,safety,high,Seatbelt 0.49 | Alta velocidad 0.42,2025-07-06T00:00:00,,
PCK8847,safety,high,Seatbelt 0.36 | Alta velocidad 0.42,2025-07-06T00:00:00,,
MXH354A,downtime,high,177.4 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-07T00:00:00,,
A04588A,downtime,high,194.1 h sin movimiento en 30d | Cobertura 14d: 0.07,2025-07-08T00:00:00,,
A04588A,telemetry,high,Salud de telemetría 0.36,2025-07-08T00:00:00,,
CR5898,downtime,high,135.2 h sin movimiento en 30d | Cobertura 14d: 0.05,2025-07-09T00:00:00,,
CR5898,telemetry,high,Salud de telemetría 0.38,2025-07-09T00:00:00,,
NHU5137,safety,high,Seatbelt 0.47 | Alta velocidad 0.49,2025-07-10T00:00:00,,
A01710A,safety,high,Seatbelt 0.46 | Alta velocidad 0.40,2025-07-11T00:00:00,,
A01913A,safety,high,Seatbelt 0.35 | Alta velocidad 0.49,2025-07-12T00:00:00,,
A6814G,safety,high,Seatbelt 0.38 | Alta velocidad 0.52,2025-07-12T00:00:00,,
NYD3632,downtime,high,179.0 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-12T00:00:00,,
744733J,downtime,high,126.5 h sin movimiento en 30d | Cobertura 14d: 0.23,2025-07-13T00:00:00,,
A2539C,safety,high,Seatbelt 0.37 | Alta velocidad 0.44,2025-07-13T00:00:00,,
A3816H,downtime,high,191.7 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-13T00:00:00,,
LGM538A,downtime,high,167.0 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-13T00:00:00,,
LGM538A,telemetry,high,Salud de telemetría 0.31,2025-07-13T00:00:00,,
PBR6322,downtime,high,121.3 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-13T00:00:00,,
A4792J,downtime,high,152.0 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-14T00:00:00,,
A4792J,telemetry,high,Salud de telemetría 0.29,2025-07-14T00:00:00,,
A7876M,safety,high,Seatbelt 0.35 | Alta velocidad 0.43,2025-07-14T00:00:00,,
CR5673,downtime,high,204.2 h sin movimiento en 30d | Cobertura 14d: 0.47,2025-07-14T00:00:00,,
CR5903,downtime,high,138.7 h sin movimiento en 30d | Cobertura 14d: 0.20,2025-07-14T00:00:00,,
CR5903,safety,high,Seatbelt 0.48 | Alta velocidad 0.46,2025-07-14T00:00:00,,
CR5903,telemetry,high,Salud de telemetría 0.28,2025-07-14T00:00:00,,
CR5903,telemetry,high,Salud de telemetría 0.31,2025-07-14T00:00:00,,
PCP7656,downtime,high,124.5 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-14T00:00:00,,
PCP7656,safety,high,Seatbelt 0.43 | Alta velocidad 0.36,2025-07-14T00:00:00,,
A3750L,telemetry,high,Salud de telemetría 0.32,2025-07-15T00:00:00,,
A4342L,safety,high,Seatbelt 0.43 | Alta velocidad 0.52,2025-07-15T00:00:00,,
NWH8687,downtime,high,135.1 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-15T00:00:00,,
YNF452A,safety,high,Seatbelt 0.42 | Alta velocidad 0.47,2025-07-15T00:00:00,,
A4267D,downtime,high,153.7 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-16T00:00:00,,
D41AKT,downtime,high,168.4 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-16T00:00:00,,
D41AKT,telemetry,high,Salud de telemetría 0.39,2025-07-16T00:00:00,,
0116YXA,downtime,high,173.4 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-17T00:00:00,,
0116YXA,safety,high,Seatbelt 0.48 | Alta velocidad 0.40,2025-07-17T00:00:00,,
0116YXA,telemetry,high,Salud de telemetría 0.34,2025-07-17T00:00:00,,
A3086D,downtime,high,207.1 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-17T00:00:00,,
A7515C,safety,high,Seatbelt 0.48 | Alta velocidad 0.52,2025-07-17T00:00:00,,
A831JMD,downtime,high,142.3 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-17T00:00:00,,
A2674M,telemetry,high,Salud de telemetría 0.39,2025-07-18T00:00:00,,
NVK163A,downtime,high,168.7 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-18T00:00:00,,
NVK163A,telemetry,high,Salud de telemetría 0.35,2025-07-18T00:00:00,,
NYE3957,safety,high,Seatbelt 0.48 | Alta velocidad 0.48,2025-07-18T00:00:00,,
Z87ACD,safety,high,Seatbelt 0.44 | Alta velocidad 0.42,2025-07-18T00:00:00,,
A3358A,telemetry,high,Salud de telemetría 0.35,2025-07-19T00:00:00,,
A9592J,downtime,high,191.1 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-19T00:00:00,,
A9592J,safety,high,Seatbelt 0.35 | Alta velocidad 0.50,2025-07-19T00:00:00,,
A9592J,telemetry,high,Salud de telemetría 0.40,2025-07-19T00:00:00,,
CR5831,downtime,high,189.9 h sin movimiento en 30d | Cobertura 14d: 1.00,2025-07-19T00:00:00,,
LMF749A,safety,high,Seatbelt 0.35 | Alta velocidad 0.43,2025-07-19T00:00:00,,
N28BEP,safety,high,Seatbelt 0.48 | Alta velocidad 0.45,2025-07-19T00:00:00,,
A1830K,downtime,high,135.9 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-20T00:00:00,,
A2490E,downtime,high,215.8 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-20T00:00:00,,
A3512J,safety,high,Seatbelt 0.36 | Alta velocidad 0.48,2025-07-20T00:00:00,,
A8402L,safety,high,Seatbelt 0.48 | Alta velocidad 0.38,2025-07-20T00:00:00,,
MVJ923A,safety,high,Seatbelt 0.47 | Alta velocidad 0.48,2025-07-20T00:00:00,,
NUT6571,downtime,high,201.3 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-20T00:00:00,,
NUT6571,telemetry,high,Salud de telemetría 0.34,2025-07-20T00:00:00,,
PCM9650,safety,high,Seatbelt 0.42 | Alta velocidad 0.43,2025-07-20T00:00:00,,
6CS4L60,safety,high,Seatbelt 0.46 | Alta velocidad 0.44,2025-07-21T00:00:00,,
A2657C,telemetry,high,Salud de telemetría 0.35,2025-07-21T00:00:00,,
NUD6464,downtime,high,172.1 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-21T00:00:00,,
457C,safety,high,Seatbelt 0.41 | Alta velocidad 0.51,2025-07-22T00:00:00,,
A9130A,downtime,high,126.8 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-22T00:00:00,,
H02BNA,downtime,high,165.4 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-22T00:00:00,,
MFN464A,downtime,high,157.5 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-22T00:00:00,,
060863K,downtime,high,173.8 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-23T00:00:00,,
060863K,telemetry,high,Salud de telemetría 0.38,2025-07-23T00:00:00,,
A2761B,downtime,high,169.2 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-23T00:00:00,,
A6069L,downtime,high,197.7 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-23T00:00:00,,
A6069L,telemetry,high,Salud de telemetría 0.31,2025-07-23T00:00:00,,
LB46147,safety,high,Seatbelt 0.37 | Alta velocidad 0.49,2025-07-23T00:00:00,,
FVV484A,safety,high,Seatbelt 0.42 | Alta velocidad 0.41,2025-07-24T00:00:00,,
NZJ2375,safety,high,Seatbelt 0.50 | Alta velocidad 0.44,2025-07-24T00:00:00,,
W24APU,safety,high,Seatbelt 0.40 | Alta velocidad 0.44,2025-07-24T00:00:00,,
770778J,downtime,high,166.5 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-25T00:00:00,,
770778J,telemetry,high,Salud de telemetría 0.39,2025-07-25T00:00:00,,
A05286A,downtime,high,159.5 h sin movimiento en 30d | Cobertura 14d: 0.05,2025-07-25T00:00:00,,
A05286A,safety,high,Seatbelt 0.41 | Alta velocidad 0.40,2025-07-25T00:00:00,,
A05286A,telemetry,high,Salud de telemetría 0.40,2025-07-25T00:00:00,,
A6525L,downtime,high,148.0 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-25T00:00:00,,
NYM3174,downtime,high,143.2 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-25T00:00:00,,
A04429A,safety,high,Seatbelt 0.46 | Alta velocidad 0.50,2025-07-26T00:00:00,,
A05175A,downtime,high,185.6 h sin movimiento en 30d | Cobertura 14d: 0.12,2025-07-26T00:00:00,,
A05175A,telemetry,high,Salud de telemetría 0.33,2025-07-26T00:00:00,,
PEF6461,downtime,high,212.8 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-26T00:00:00,,
PEF6461,telemetry,high,Salud de telemetría 0.39,2025-07-26T00:00:00,,
A0030N,downtime,high,133.5 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-27T00:00:00,,
A0030N,telemetry,high,Salud de telemetría 0.35,2025-07-27T00:00:00,,
A04626A,downtime,high,208.1 h sin movimiento en 30d | Cobertura 14d: 0.07,2025-07-27T00:00:00,,
A1506D,downtime,high,214.5 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-27T00:00:00,,
A1506D,telemetry,high,Salud de telemetría 0.37,2025-07-27T00:00:00,,
A2092L,downtime,high,178.8 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-27T00:00:00,,
A2092L,telemetry,high,Salud de telemetría 0.38,2025-07-27T00:00:00,,
A274JMF,downtime,high,177.1 h sin movimiento en 30d | Cobertura 14d: 0.02,2025-07-27T00:00:00,,
A274JMF,safety,high,Seatbelt 0.40 | Alta velocidad 0.42,2025-07-27T00:00:00,,
A274JMF,telemetry,high,Salud de telemetría 0.38,2025-07-27T00:00:00,,
A4404M,downtime,high,170.1 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-27T00:00:00,,
A4404M,telemetry,high,Salud de telemetría 0.31,2025-07-27T00:00:00,,
A6316G,downtime,high,209.5 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-27T00:00:00,,
A6316G,telemetry,high,Salud de telemetría 0.37,2025-07-27T00:00:00,,
A6839B,downtime,high,166.0 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-27T00:00:00,,
A6839B,telemetry,high,Salud de telemetría 0.33,2025-07-27T00:00:00,,
A7886M,downtime,high,150.0 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-27T00:00:00,,
NAV388A,downtime,high,182.0 h sin movimiento en 30d | Cobertura 14d: 0.01,2025-07-27T00:00:00,,
NAV388A,telemetry,high,Salud de telemetría 0.38,2025-07-27T00:00:00,,
A8046M,downtime,high,188.7 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-28T00:00:00,,
A9895M,safety,high,Seatbelt 0.35 | Alta velocidad 0.43,2025-07-28T00:00:00,,
LKC143B,downtime,high,174.5 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-28T00:00:00,,
LKC143B,telemetry,high,Salud de telemetría 0.37,2025-07-28T00:00:00,,
NZT1108,safety,high,Seatbelt 0.50 | Alta velocidad 0.51,2025-07-28T00:00:00,,
PDP9133,safety,high,Seatbelt 0.49 | Alta velocidad 0.39,2025-07-28T00:00:00,,
A04664E,downtime,high,185.9 h sin movimiento en 30d | Cobertura 14d: 0.18,2025-07-29T00:00:00,,
CR5851,safety,high,Seatbelt 0.48 | Alta velocidad 0.51,2025-07-29T00:00:00,,
LHN874B,downtime,high,217.2 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-29T00:00:00,,
LHN874B,telemetry,high,Salud de telemetría 0.27,2025-07-29T00:00:00,,
NTD7979,downtime,high,149.3 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-29T00:00:00,,
NTD7979,telemetry,high,Salud de telemetría 0.32,2025-07-29T00:00:00,,
NZT5678,downtime,high,128.3 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-29T00:00:00,,
PBP3281,safety,high,Seatbelt 0.40 | Alta velocidad 0.37,2025-07-29T00:00:00,,
PEF2218,safety,high,Seatbelt 0.47 | Alta velocidad 0.38,2025-07-29T00:00:00,,
PEM2390,downtime,high,168.8 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-29T00:00:00,,
PEM2390,safety,high,Seatbelt 0.40 | Alta velocidad 0.45,2025-07-29T00:00:00,,
TR56,downtime,high,187.8 h sin movimiento en 30d | Cobertura 14d: 1.00,2025-07-29T00:00:00,,
TR56,telemetry,high,Salud de telemetría 0.29,2025-07-29T00:00:00,,
203ZCT,downtime,high,218.5 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-30T00:00:00,,
203ZCT,telemetry,high,Salud de telemetría 0.31,2025-07-30T00:00:00,,
770957J,downtime,high,153.9 h sin movimiento en 30d | Cobertura 14d: 0.21,2025-07-30T00:00:00,,
8162,downtime,high,177.6 h sin movimiento en 30d | Cobertura 14d: 0.09,2025-07-30T00:00:00,,
A03951A,safety,high,Seatbelt 0.40 | Alta velocidad 0.46,2025-07-30T00:00:00,,
A04251A,downtime,high,218.1 h sin movimiento en 30d | Cobertura 14d: 0.06,2025-07-30T00:00:00,,
A04251A,telemetry,high,Salud de telemetría 0.34,2025-07-30T00:00:00,,
A4307J,downtime,high,149.9 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-30T00:00:00,,
A6859J,downtime,high,162.2 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-30T00:00:00,,
A8527J,downtime,high,170.8 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-30T00:00:00,,
A8527J,telemetry,high,Salud de telemetría 0.39,2025-07-30T00:00:00,,
A8584C,safety,high,Seatbelt 0.50 | Alta velocidad 0.48,2025-07-30T00:00:00,,
AEW266B,downtime,high,124.1 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-30T00:00:00,,
CR5850,downtime,high,200.0 h sin movimiento en 30d | Cobertura 14d: 0.51,2025-07-30T00:00:00,,
CR5850,telemetry,high,Salud de telemetría 0.29,2025-07-30T00:00:00,,
CR5858,downtime,high,178.7 h sin movimiento en 30d | Cobertura 14d: 1.00,2025-07-30T00:00:00,,
CR5858,safety,high,Seatbelt 0.49 | Alta velocidad 0.50,2025-07-30T00:00:00,,
LTY048A,downtime,high,186.4 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-30T00:00:00,,
LTY048A,telemetry,high,Salud de telemetría 0.32,2025-07-30T00:00:00,,
NYB2200,safety,high,Seatbelt 0.39 | Alta velocidad 0.53,2025-07-30T00:00:00,,
PAA8087,safety,high,Seatbelt 0.42 | Alta velocidad 0.47,2025-07-30T00:00:00,,
PAY7657,safety,high,Seatbelt 0.44 | Alta velocidad 0.43,2025-07-30T00:00:00,,
PBW4091,downtime,high,132.3 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-30T00:00:00,,
PDR4456,safety,high,Seatbelt 0.45 | Alta velocidad 0.52,2025-07-30T00:00:00,,
701TL011C,safety,high,Seatbelt 0.50 | Alta velocidad 0.44,2025-07-31T00:00:00,,
770804J,downtime,high,188.7 h sin movimiento en 30d | Cobertura 14d: 0.16,2025-07-31T00:00:00,,
770804J,telemetry,high,Salud de telemetría 0.38,2025-07-31T00:00:00,,
906068,safety,high,Seatbelt 0.39 | Alta velocidad 0.48,2025-07-31T00:00:00,,
9312JES,safety,high,Seatbelt 0.39 | Alta velocidad 0.36,2025-07-31T00:00:00,,
A02013A,safety,high,Seatbelt 0.45 | Alta velocidad 0.40,2025-07-31T00:00:00,,
A02294A,downtime,high,193.4 h sin movimiento en 30d | Cobertura 14d: 0.04,2025-07-31T00:00:00,,
A02294A,telemetry,high,Salud de telemetría 0.37,2025-07-31T00:00:00,,
A03988A,safety,high,Seatbelt 0.40 | Alta velocidad 0.47,2025-07-31T00:00:00,,
A04128A,downtime,high,179.8 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-31T00:00:00,,
A04229A,safety,high,Seatbelt 0.47 | Alta velocidad 0.38,2025-07-31T00:00:00,,
A04230A,downtime,high,192.9 h sin movimiento en 30d | Cobertura 14d: 0.05,2025-07-31T00:00:00,,
A04249A,downtime,high,212.1 h sin movimiento en 30d | Cobertura 14d: 0.05,2025-07-31T00:00:00,,
A04250A,downtime,high,120.3 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-31T00:00:00,,
A04501A,downtime,high,178.7 h sin movimiento en 30d | Cobertura 14d: 0.14,2025-07-31T00:00:00,,
A04502A,safety,high,Seatbelt 0.44 | Alta velocidad 0.47,2025-07-31T00:00:00,,
A04509A,downtime,high,180.3 h sin movimiento en 30d | Cobertura 14d: 0.15,2025-07-31T00:00:00,,
A04512A,downtime,high,121.5 h sin movimiento en 30d | Cobertura 14d: 0.01,2025-07-31T00:00:00,,
A04512A,telemetry,high,Salud de telemetría 0.37,2025-07-31T00:00:00,,
A04516A,downtime,high,164.2 h sin movimiento en 30d | Cobertura 14d: 0.05,2025-07-31T00:00:00,,
A04516A,safety,high,Seatbelt 0.35 | Alta velocidad 0.39,2025-07-31T00:00:00,,
A04521A,downtime,high,194.7 h sin movimiento en 30d | Cobertura 14d: 0.18,2025-07-31T00:00:00,,
A04549A,downtime,high,141.9 h sin movimiento en 30d | Cobertura 14d: 0.10,2025-07-31T00:00:00,,
A04552A,safety,high,Seatbelt 0.46 | Alta velocidad 0.47,2025-07-31T00:00:00,,
A04559A,downtime,high,149.9 h sin movimiento en 30d | Cobertura 14d: 0.03,2025-07-31T00:00:00,,
A04559A,telemetry,high,Salud de telemetría 0.33,2025-07-31T00:00:00,,
A04568A,downtime,high,157.2 h sin movimiento en 30d | Cobertura 14d: 0.13,2025-07-31T00:00:00,,
A04568A,telemetry,high,Salud de telemetría 0.38,2025-07-31T00:00:00,,
A04573A,safety,high,Seatbelt 0.37 | Alta velocidad 0.39,2025-07-31T00:00:00,,
A04584A,safety,high,Seatbelt 0.38 | Alta velocidad 0.46,2025-07-31T00:00:00,,
A04600A,safety,high,Seatbelt 0.35 | Alta velocidad 0.46,2025-07-31T00:00:00,,
A04661A,downtime,high,177.7 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-31T00:00:00,,
A04661A,telemetry,high,Salud de telemetría 0.35,2025-07-31T00:00:00,,
A04671A,downtime,high,147.1 h sin movimiento en 30d | Cobertura 14d: 0.09,2025-07-31T00:00:00,,
A04671A,telemetry,high,Salud de telemetría 0.34,2025-07-31T00:00:00,,
A04695A,downtime,high,211.0 h sin movimiento en 30d | Cobertura 14d: 0.04,2025-07-31T00:00:00,,
A04695A,telemetry,high,Salud de telemetría 0.37,2025-07-31T00:00:00,,
A05011A,safety,high,Seatbelt 0.37 | Alta velocidad 0.43,2025-07-31T00:00:00,,
A05022A,downtime,high,176.6 h sin movimiento en 30d | Cobertura 14d: 0.18,2025-07-31T00:00:00,,
A05022A,telemetry,high,Salud de telemetría 0.37,2025-07-31T00:00:00,,
A05109A,safety,high,Seatbelt 0.45 | Alta velocidad 0.53,2025-07-31T00:00:00,,
A05142A,downtime,high,150.1 h sin movimiento en 30d | Cobertura 14d: 0.15,2025-07-31T00:00:00,,
A05151A,safety,high,Seatbelt 0.49 | Alta velocidad 0.43,2025-07-31T00:00:00,,
A05155A,safety,high,Seatbelt 0.40 | Alta velocidad 0.44,2025-07-31T00:00:00,,
A05157A,telemetry,high,Salud de telemetría 0.34,2025-07-31T00:00:00,,
A05164A,safety,high,Seatbelt 0.47 | Alta velocidad 0.52,2025-07-31T00:00:00,,
A05165A,downtime,high,204.1 h sin movimiento en 30d | Cobertura 14d: 0.02,2025-07-31T00:00:00,,
A05165A,telemetry,high,Salud de telemetría 0.40,2025-07-31T00:00:00,,
A05188A,downtime,high,165.8 h sin movimiento en 30d | Cobertura 14d: 0.18,2025-07-31T00:00:00,,
A05214A,downtime,high,150.5 h sin movimiento en 30d | Cobertura 14d: 0.03,2025-07-31T00:00:00,,
A05229A,downtime,high,135.5 h sin movimiento en 30d | Cobertura 14d: 0.20,2025-07-31T00:00:00,,
A05229A,telemetry,high,Salud de telemetría 0.39,2025-07-31T00:00:00,,
A05354A,safety,high,Seatbelt 0.37 | Alta velocidad 0.37,2025-07-31T00:00:00,,
A05355A,downtime,high,184.4 h sin movimiento en 30d | Cobertura 14d: 0.08,2025-07-31T00:00:00,,
A05503A,downtime,high,130.5 h sin movimiento en 30d | Cobertura 14d: 0.15,2025-07-31T00:00:00,,
A05506A,telemetry,high,Salud de telemetría 0.38,2025-07-31T00:00:00,,
A05509A,downtime,high,126.7 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-31T00:00:00,,
A23232E,downtime,high,183.6 h sin movimiento en 30d | Cobertura 14d: 0.26,2025-07-31T00:00:00,,
A23443E,downtime,high,202.9 h sin movimiento en 30d | Cobertura 14d: 0.04,2025-07-31T00:00:00,,
A23443E,telemetry,high,Salud de telemetría 0.37,2025-07-31T00:00:00,,
A2862L,safety,high,Seatbelt 0.43 | Alta velocidad 0.51,2025-07-31T00:00:00,,
A346JMC,downtime,high,159.2 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-31T00:00:00,,
A346JMC,safety,high,Seatbelt 0.40 | Alta velocidad 0.37,2025-07-31T00:00:00,,
A399JMB,downtime,high,170.5 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-31T00:00:00,,
A399JMB,telemetry,high,Salud de telemetría 0.36,2025-07-31T00:00:00,,
A7138G,downtime,high,154.8 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-31T00:00:00,,
A7138G,telemetry,high,Salud de telemetría 0.37,2025-07-31T00:00:00,,
A7738C,downtime,high,140.4 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-31T00:00:00,,
A77526D,downtime,high,174.7 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-31T00:00:00,,
A77526D,telemetry,high,Salud de telemetría 0.35,2025-07-31T00:00:00,,
A83496D,downtime,high,151.3 h sin movimiento en 30d | Cobertura 14d: 0.12,2025-07-31T00:00:00,,
A84113D,downtime,high,178.1 h sin movimiento en 30d | Cobertura 14d: 0.09,2025-07-31T00:00:00,,
A84113D,safety,high,Seatbelt 0.38 | Alta velocidad 0.50,2025-07-31T00:00:00,,
A84209D,downtime,high,180.9 h sin movimiento en 30d | Cobertura 14d: 0.22,2025-07-31T00:00:00,,
A84209D,telemetry,high,Salud de telemetría 0.35,2025-07-31T00:00:00,,
