placa,alert_type,severity,details,triggered_at,code,diagnostic_id
CR5733,downtime,high,141.2 h sin movimiento en 30d | Cobertura 14d: 1.00,2025-07-11T00:00:00,,
A01913A,downtime,high,183.8 h sin movimiento en 30d | Cobertura 14d: 0.52,2025-07-12T00:00:00,,
A01913A,downtime,high,273.4 h sin movimiento en 30d | Cobertura 14d: 0.37,2025-07-12T00:00:00,,
A04732A,downtime,high,173.4 h sin movimiento en 30d | Cobertura 14d: 0.54,2025-07-12T00:00:00,,
A3487H,downtime,high,154.9 h sin movimiento en 30d | Cobertura 14d: 0.16,2025-07-12T00:00:00,,
A7778M,downtime,high,137.7 h sin movimiento en 30d | Cobertura 14d: 0.21,2025-07-12T00:00:00,,
NYD3632,downtime,high,293.0 h sin movimiento en 30d | Cobertura 14d: 0.20,2025-07-12T00:00:00,,
X56BGM,downtime,high,302.0 h sin movimiento en 30d | Cobertura 14d: 0.19,2025-07-12T00:00:00,,
A04724E,downtime,high,187.3 h sin movimiento en 30d | Cobertura 14d: 0.51,2025-07-13T00:00:00,,
A3816H,downtime,high,258.4 h sin movimiento en 30d | Cobertura 14d: 0.29,2025-07-13T00:00:00,,
A3816H,downtime,high,441.6 h sin movimiento en 30d | Cobertura 14d: 0.08,2025-07-13T00:00:00,,
A3816H,downtime,high,349.3 h sin movimiento en 30d | Cobertura 14d: 0.20,2025-07-13T00:00:00,,
LGM538A,downtime,high,281.6 h sin movimiento en 30d | Cobertura 14d: 0.22,2025-07-13T00:00:00,,
LGM538A,downtime,high,493.9 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-13T00:00:00,,
LWZ452A,downtime,high,248.0 h sin movimiento en 30d | Cobertura 14d: 0.31,2025-07-13T00:00:00,,
MKH203A,downtime,high,246.3 h sin movimiento en 30d | Cobertura 14d: 0.29,2025-07-13T00:00:00,,
NXR1067,downtime,high,279.9 h sin movimiento en 30d | Cobertura 14d: 0.22,2025-07-13T00:00:00,,
PBR6322,downtime,high,297.8 h sin movimiento en 30d | Cobertura 14d: 0.15,2025-07-13T00:00:00,,
PED4226,downtime,high,268.8 h sin movimiento en 30d | Cobertura 14d: 0.26,2025-07-13T00:00:00,,
A3392G,downtime,high,290.8 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-14T00:00:00,,
A3730M,downtime,high,165.5 h sin movimiento en 30d | Cobertura 14d: 0.21,2025-07-14T00:00:00,,
A4792J,downtime,high,172.7 h sin movimiento en 30d | Cobertura 14d: 0.08,2025-07-14T00:00:00,,
A6784G,downtime,high,139.6 h sin movimiento en 30d | Cobertura 14d: 0.18,2025-07-14T00:00:00,,
A6784G,downtime,high,187.3 h sin movimiento en 30d | Cobertura 14d: 0.03,2025-07-14T00:00:00,,
A7876M,downtime,high,271.5 h sin movimiento en 30d | Cobertura 14d: 0.19,2025-07-14T00:00:00,,
PCP7656,downtime,high,291.0 h sin movimiento en 30d | Cobertura 14d: 0.22,2025-07-14T00:00:00,,
A3750L,downtime,high,308.4 h sin movimiento en 30d | Cobertura 14d: 0.16,2025-07-15T00:00:00,,
A4056C,downtime,high,275.7 h sin movimiento en 30d | Cobertura 14d: 0.22,2025-07-15T00:00:00,,
A4342L,downtime,high,214.3 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-15T00:00:00,,
NWU2870,downtime,high,272.1 h sin movimiento en 30d | Cobertura 14d: 0.25,2025-07-15T00:00:00,,
NWU2870,downtime,high,490.7 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-15T00:00:00,,
NWU2870,downtime,high,332.8 h sin movimiento en 30d | Cobertura 14d: 0.15,2025-07-15T00:00:00,,
YNF452A,downtime,high,251.9 h sin movimiento en 30d | Cobertura 14d: 0.15,2025-07-15T00:00:00,,
YNF452A,downtime,high,433.2 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-15T00:00:00,,
756963J,downtime,high,275.9 h sin movimiento en 30d | Cobertura 14d: 0.59,2025-07-16T00:00:00,,
A4267D,downtime,high,294.7 h sin movimiento en 30d | Cobertura 14d: 0.15,2025-07-16T00:00:00,,
A85212D,downtime,high,206.4 h sin movimiento en 30d | Cobertura 14d: 0.05,2025-07-16T00:00:00,,
D41AKT,downtime,high,306.7 h sin movimiento en 30d | Cobertura 14d: 0.17,2025-07-16T00:00:00,,
MGU109A,downtime,high,291.3 h sin movimiento en 30d | Cobertura 14d: 0.19,2025-07-16T00:00:00,,
MJJ069A,downtime,high,255.6 h sin movimiento en 30d | Cobertura 14d: 0.28,2025-07-16T00:00:00,,
MJJ069A,downtime,high,320.7 h sin movimiento en 30d | Cobertura 14d: 0.16,2025-07-16T00:00:00,,
NYU1735,downtime,high,289.0 h sin movimiento en 30d | Cobertura 14d: 0.17,2025-07-16T00:00:00,,
NYU1735,downtime,high,419.1 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-16T00:00:00,,
0116YXA,downtime,high,264.1 h sin movimiento en 30d | Cobertura 14d: 0.25,2025-07-17T00:00:00,,
A26145,downtime,high,288.4 h sin movimiento en 30d | Cobertura 14d: 0.21,2025-07-17T00:00:00,,
A7515C,downtime,high,183.7 h sin movimiento en 30d | Cobertura 14d: 0.17,2025-07-17T00:00:00,,
A831JMD,downtime,high,271.2 h sin movimiento en 30d | Cobertura 14d: 0.23,2025-07-17T00:00:00,,
F66BAM,downtime,high,307.7 h sin movimiento en 30d | Cobertura 14d: 0.19,2025-07-17T00:00:00,,
PCE9259,downtime,high,281.6 h sin movimiento en 30d | Cobertura 14d: 0.20,2025-07-17T00:00:00,,
A0016D,downtime,high,273.1 h sin movimiento en 30d | Cobertura 14d: 0.26,2025-07-18T00:00:00,,
A0748J,downtime,high,280.5 h sin movimiento en 30d | Cobertura 14d: 0.23,2025-07-18T00:00:00,,
A0748J,downtime,high,467.9 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-18T00:00:00,,
A2674M,downtime,high,150.2 h sin movimiento en 30d | Cobertura 14d: 0.18,2025-07-18T00:00:00,,
LKS335C,downtime,high,217.4 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-18T00:00:00,,
NVK163A,downtime,high,165.7 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-18T00:00:00,,
NYE3957,downtime,high,288.1 h sin movimiento en 30d | Cobertura 14d: 0.20,2025-07-18T00:00:00,,
NYE3957,downtime,high,458.5 h sin movimiento en 30d | Cobertura 14d: 0.02,2025-07-18T00:00:00,,
NZU3316,downtime,high,283.6 h sin movimiento en 30d | Cobertura 14d: 0.21,2025-07-18T00:00:00,,
NZU3316,downtime,high,449.3 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-18T00:00:00,,
NZU3316,downtime,high,394.7 h sin movimiento en 30d | Cobertura 14d: 0.14,2025-07-18T00:00:00,,
PBB3219,downtime,high,228.9 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-18T00:00:00,,
PBE9461,downtime,high,263.3 h sin movimiento en 30d | Cobertura 14d: 0.29,2025-07-18T00:00:00,,
Z87ACD,downtime,high,284.2 h sin movimiento en 30d | Cobertura 14d: 0.25,2025-07-18T00:00:00,,
A04126A,downtime,high,235.5 h sin movimiento en 30d | Cobertura 14d: 0.39,2025-07-19T00:00:00,,
A1185K,downtime,high,159.5 h sin movimiento en 30d | Cobertura 14d: 0.02,2025-07-19T00:00:00,,
A3358A,downtime,high,162.7 h sin movimiento en 30d | Cobertura 14d: 0.06,2025-07-19T00:00:00,,
A3757E,downtime,high,277.4 h sin movimiento en 30d | Cobertura 14d: 0.24,2025-07-19T00:00:00,,
A9592J,downtime,high,270.7 h sin movimiento en 30d | Cobertura 14d: 0.25,2025-07-19T00:00:00,,
LMF749A,downtime,high,273.0 h sin movimiento en 30d | Cobertura 14d: 0.24,2025-07-19T00:00:00,,
N28BEP,downtime,high,273.8 h sin movimiento en 30d | Cobertura 14d: 0.23,2025-07-19T00:00:00,,
NFN693A,downtime,high,250.9 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-19T00:00:00,,
NXU8505,downtime,high,248.1 h sin movimiento en 30d | Cobertura 14d: 0.25,2025-07-19T00:00:00,,
NXU8505,downtime,high,387.2 h sin movimiento en 30d | Cobertura 14d: 0.07,2025-07-19T00:00:00,,
NXU8505,downtime,high,320.6 h sin movimiento en 30d | Cobertura 14d: 0.19,2025-07-19T00:00:00,,
PDH897B,downtime,high,267.5 h sin movimiento en 30d | Cobertura 14d: 0.26,2025-07-19T00:00:00,,
A3330M,downtime,high,296.7 h sin movimiento en 30d | Cobertura 14d: 0.22,2025-07-20T00:00:00,,
A3512J,downtime,high,260.2 h sin movimiento en 30d | Cobertura 14d: 0.27,2025-07-20T00:00:00,,
A4177K,downtime,high,199.2 h sin movimiento en 30d | Cobertura 14d: 0.20,2025-07-20T00:00:00,,
A4177K,downtime,high,351.4 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-20T00:00:00,,
A8402L,downtime,high,148.9 h sin movimiento en 30d | Cobertura 14d: 0.20,2025-07-20T00:00:00,,
A8402L,downtime,high,230.5 h sin movimiento en 30d | Cobertura 14d: 0.10,2025-07-20T00:00:00,,
A8944C,downtime,high,209.2 h sin movimiento en 30d | Cobertura 14d: 0.18,2025-07-20T00:00:00,,
NFH392B,downtime,high,133.5 h sin movimiento en 30d | Cobertura 14d: 0.66,2025-07-20T00:00:00,,
NZN9885,downtime,high,266.8 h sin movimiento en 30d | Cobertura 14d: 0.26,2025-07-20T00:00:00,,
A2657C,downtime,high,275.2 h sin movimiento en 30d | Cobertura 14d: 0.22,2025-07-21T00:00:00,,
PAL6787,downtime,high,271.7 h sin movimiento en 30d | Cobertura 14d: 0.24,2025-07-21T00:00:00,,
710TL023M,downtime,high,133.2 h sin movimiento en 30d | Cobertura 14d: 0.26,2025-07-22T00:00:00,,
A9130A,downtime,high,295.4 h sin movimiento en 30d | Cobertura 14d: 0.17,2025-07-22T00:00:00,,
A9130A,downtime,high,370.3 h sin movimiento en 30d | Cobertura 14d: 0.08,2025-07-22T00:00:00,,
MET467A,downtime,high,270.7 h sin movimiento en 30d | Cobertura 14d: 0.24,2025-07-22T00:00:00,,
MFN464A,downtime,high,262.9 h sin movimiento en 30d | Cobertura 14d: 0.27,2025-07-22T00:00:00,,
MFN464A,downtime,high,328.3 h sin movimiento en 30d | Cobertura 14d: 0.19,2025-07-22T00:00:00,,
NZY5605,downtime,high,283.4 h sin movimiento en 30d | Cobertura 14d: 0.21,2025-07-22T00:00:00,,
PDT552A,downtime,high,290.4 h sin movimiento en 30d | Cobertura 14d: 0.16,2025-07-22T00:00:00,,
060863K,downtime,high,203.6 h sin movimiento en 30d | Cobertura 14d: 0.29,2025-07-23T00:00:00,,
060863K,downtime,high,370.3 h sin movimiento en 30d | Cobertura 14d: 0.13,2025-07-23T00:00:00,,
867004J,downtime,high,211.3 h sin movimiento en 30d | Cobertura 14d: 0.58,2025-07-23T00:00:00,,
A04123A,downtime,high,255.4 h sin movimiento en 30d | Cobertura 14d: 0.26,2025-07-23T00:00:00,,
A2761B,downtime,high,176.9 h sin movimiento en 30d | Cobertura 14d: 0.22,2025-07-23T00:00:00,,
A4096M,downtime,high,217.1 h sin movimiento en 30d | Cobertura 14d: 0.19,2025-07-23T00:00:00,,
A6069L,downtime,high,269.5 h sin movimiento en 30d | Cobertura 14d: 0.23,2025-07-23T00:00:00,,
LB46147,downtime,high,194.6 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-23T00:00:00,,
LWM663A,downtime,high,292.3 h sin movimiento en 30d | Cobertura 14d: 0.20,2025-07-23T00:00:00,,
NUA336A,downtime,high,277.9 h sin movimiento en 30d | Cobertura 14d: 0.24,2025-07-23T00:00:00,,
NUA336A,downtime,high,352.0 h sin movimiento en 30d | Cobertura 14d: 0.16,2025-07-23T00:00:00,,
PBH008B,downtime,high,247.9 h sin movimiento en 30d | Cobertura 14d: 0.20,2025-07-23T00:00:00,,
A7371K,downtime,high,261.1 h sin movimiento en 30d | Cobertura 14d: 0.21,2025-07-24T00:00:00,,
FVV484A,downtime,high,170.9 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-24T00:00:00,,
NZJ2375,downtime,high,274.5 h sin movimiento en 30d | Cobertura 14d: 0.24,2025-07-24T00:00:00,,
NZN4196,downtime,high,257.1 h sin movimiento en 30d | Cobertura 14d: 0.27,2025-07-24T00:00:00,,
W24APU,downtime,high,203.5 h sin movimiento en 30d | Cobertura 14d: 0.22,2025-07-24T00:00:00,,
71BA4V,downtime,high,168.9 h sin movimiento en 30d | Cobertura 14d: 1.00,2025-07-25T00:00:00,,
770680J,downtime,high,141.3 h sin movimiento en 30d | Cobertura 14d: 0.65,2025-07-25T00:00:00,,
770778J,downtime,high,148.8 h sin movimiento en 30d | Cobertura 14d: 0.24,2025-07-25T00:00:00,,
770778J,downtime,high,258.3 h sin movimiento en 30d | Cobertura 14d: 0.14,2025-07-25T00:00:00,,
A0103J,downtime,high,195.4 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-25T00:00:00,,
A05286A,downtime,high,203.0 h sin movimiento en 30d | Cobertura 14d: 0.56,2025-07-25T00:00:00,,
A05286A,downtime,high,403.4 h sin movimiento en 30d | Cobertura 14d: 0.27,2025-07-25T00:00:00,,
A2464C,downtime,high,243.1 h sin movimiento en 30d | Cobertura 14d: 0.31,2025-07-25T00:00:00,,
A6525L,downtime,high,276.7 h sin movimiento en 30d | Cobertura 14d: 0.25,2025-07-25T00:00:00,,
MVY555B,downtime,high,268.9 h sin movimiento en 30d | Cobertura 14d: 0.26,2025-07-25T00:00:00,,
NFH2748,downtime,high,257.5 h sin movimiento en 30d | Cobertura 14d: 0.21,2025-07-25T00:00:00,,
NUJ6630,downtime,high,289.4 h sin movimiento en 30d | Cobertura 14d: 0.21,2025-07-25T00:00:00,,
NUP773A,downtime,high,270.0 h sin movimiento en 30d | Cobertura 14d: 0.22,2025-07-25T00:00:00,,
NYM3174,downtime,high,276.7 h sin movimiento en 30d | Cobertura 14d: 0.20,2025-07-25T00:00:00,,
A03782E,downtime,high,272.2 h sin movimiento en 30d | Cobertura 14d: 0.42,2025-07-26T00:00:00,,
A04255A,downtime,high,220.3 h sin movimiento en 30d | Cobertura 14d: 0.34,2025-07-26T00:00:00,,
A04255A,downtime,high,420.8 h sin movimiento en 30d | Cobertura 14d: 0.16,2025-07-26T00:00:00,,
A04429A,downtime,high,150.7 h sin movimiento en 30d | Cobertura 14d: 0.56,2025-07-26T00:00:00,,
A05175A,downtime,high,184.2 h sin movimiento en 30d | Cobertura 14d: 0.47,2025-07-26T00:00:00,,
A114JLB,downtime,high,275.8 h sin movimiento en 30d | Cobertura 14d: 0.20,2025-07-26T00:00:00,,
A3612C,downtime,high,276.3 h sin movimiento en 30d | Cobertura 14d: 0.23,2025-07-26T00:00:00,,
A7164E,downtime,high,222.8 h sin movimiento en 30d | Cobertura 14d: 0.22,2025-07-26T00:00:00,,
A7164E,downtime,high,364.4 h sin movimiento en 30d | Cobertura 14d: 0.07,2025-07-26T00:00:00,,
A7164E,downtime,high,309.5 h sin movimiento en 30d | Cobertura 14d: 0.09,2025-07-26T00:00:00,,
A77647D,downtime,high,213.0 h sin movimiento en 30d | Cobertura 14d: 0.62,2025-07-26T00:00:00,,
A84780D,downtime,high,215.5 h sin movimiento en 30d | Cobertura 14d: 0.31,2025-07-26T00:00:00,,
A85424D,downtime,high,123.6 h sin movimiento en 30d | Cobertura 14d: 0.57,2025-07-26T00:00:00,,
A952JMF,downtime,high,281.8 h sin movimiento en 30d | Cobertura 14d: 0.21,2025-07-26T00:00:00,,
CR5860,downtime,high,228.4 h sin movimiento en 30d | Cobertura 14d: 1.00,2025-07-26T00:00:00,,
G07BJK,downtime,high,279.1 h sin movimiento en 30d | Cobertura 14d: 0.23,2025-07-26T00:00:00,,
LVA200C,downtime,high,147.9 h sin movimiento en 30d | Cobertura 14d: 0.20,2025-07-26T00:00:00,,
MHN831B,downtime,high,223.9 h sin movimiento en 30d | Cobertura 14d: 0.23,2025-07-26T00:00:00,,
NZT3779,downtime,high,272.1 h sin movimiento en 30d | Cobertura 14d: 0.23,2025-07-26T00:00:00,,
P08BJB,downtime,high,227.2 h sin movimiento en 30d | Cobertura 14d: 0.24,2025-07-26T00:00:00,,
PED7381,downtime,high,148.5 h sin movimiento en 30d | Cobertura 14d: 0.21,2025-07-26T00:00:00,,
PEF6461,downtime,high,302.3 h sin movimiento en 30d | Cobertura 14d: 0.14,2025-07-26T00:00:00,,
R11BRA,downtime,high,265.9 h sin movimiento en 30d | Cobertura 14d: 0.29,2025-07-26T00:00:00,,
XXJ175B,downtime,high,157.4 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-26T00:00:00,,
0603561C,downtime,high,134.3 h sin movimiento en 30d | Cobertura 14d: 0.62,2025-07-27T00:00:00,,
060374K,downtime,high,157.6 h sin movimiento en 30d | Cobertura 14d: 0.44,2025-07-27T00:00:00,,
1802MDF058,downtime,high,175.7 h sin movimiento en 30d | Cobertura 14d: 0.10,2025-07-27T00:00:00,,
A04626A,downtime,high,172.2 h sin movimiento en 30d | Cobertura 14d: 0.57,2025-07-27T00:00:00,,
A1506D,downtime,high,289.0 h sin movimiento en 30d | Cobertura 14d: 0.19,2025-07-27T00:00:00,,
A2092L,downtime,high,287.6 h sin movimiento en 30d | Cobertura 14d: 0.22,2025-07-27T00:00:00,,
A22603,downtime,high,121.0 h sin movimiento en 30d | Cobertura 14d: 0.15,2025-07-27T00:00:00,,
A22603,downtime,high,259.4 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-27T00:00:00,,
A22603,downtime,high,232.3 h sin movimiento en 30d | Cobertura 14d: 0.08,2025-07-27T00:00:00,,
A274JMF,downtime,high,255.0 h sin movimiento en 30d | Cobertura 14d: 0.29,2025-07-27T00:00:00,,
A4404M,downtime,high,308.1 h sin movimiento en 30d | Cobertura 14d: 0.17,2025-07-27T00:00:00,,
A4434C,downtime,high,281.1 h sin movimiento en 30d | Cobertura 14d: 0.22,2025-07-27T00:00:00,,
A5176E,downtime,high,280.7 h sin movimiento en 30d | Cobertura 14d: 0.20,2025-07-27T00:00:00,,
A6839B,downtime,high,296.2 h sin movimiento en 30d | Cobertura 14d: 0.17,2025-07-27T00:00:00,,
A6839B,downtime,high,400.8 h sin movimiento en 30d | Cobertura 14d: 0.08,2025-07-27T00:00:00,,
A77281D,downtime,high,298.9 h sin movimiento en 30d | Cobertura 14d: 0.49,2025-07-27T00:00:00,,
A77639D,downtime,high,133.4 h sin movimiento en 30d | Cobertura 14d: 0.57,2025-07-27T00:00:00,,
A77639D,downtime,high,257.7 h sin movimiento en 30d | Cobertura 14d: 0.37,2025-07-27T00:00:00,,
A7886M,downtime,high,265.5 h sin movimiento en 30d | Cobertura 14d: 0.24,2025-07-27T00:00:00,,
A7886M,downtime,high,364.4 h sin movimiento en 30d | Cobertura 14d: 0.12,2025-07-27T00:00:00,,
A8912B,downtime,high,284.8 h sin movimiento en 30d | Cobertura 14d: 0.22,2025-07-27T00:00:00,,
H27AKN,downtime,high,283.1 h sin movimiento en 30d | Cobertura 14d: 0.21,2025-07-27T00:00:00,,
LGG763B,downtime,high,248.1 h sin movimiento en 30d | Cobertura 14d: 0.27,2025-07-27T00:00:00,,
LRS739A,downtime,high,277.3 h sin movimiento en 30d | Cobertura 14d: 0.21,2025-07-27T00:00:00,,
MGY297A,downtime,high,245.0 h sin movimiento en 30d | Cobertura 14d: 0.31,2025-07-27T00:00:00,,
MXD895A,downtime,high,297.8 h sin movimiento en 30d | Cobertura 14d: 0.19,2025-07-27T00:00:00,,
MZB912A,downtime,high,279.0 h sin movimiento en 30d | Cobertura 14d: 0.23,2025-07-27T00:00:00,,
NAV388A,downtime,high,277.5 h sin movimiento en 30d | Cobertura 14d: 0.27,2025-07-27T00:00:00,,
NDG818A,downtime,high,280.2 h sin movimiento en 30d | Cobertura 14d: 0.25,2025-07-27T00:00:00,,
NDG818A,downtime,high,368.8 h sin movimiento en 30d | Cobertura 14d: 0.16,2025-07-27T00:00:00,,
NYJ2223,downtime,high,268.6 h sin movimiento en 30d | Cobertura 14d: 0.27,2025-07-27T00:00:00,,
NYJ2223,downtime,high,403.9 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-27T00:00:00,,
NYU750B,downtime,high,265.9 h sin movimiento en 30d | Cobertura 14d: 0.26,2025-07-27T00:00:00,,
PBV1337,downtime,high,273.8 h sin movimiento en 30d | Cobertura 14d: 0.24,2025-07-27T00:00:00,,
PDF2203,downtime,high,273.3 h sin movimiento en 30d | Cobertura 14d: 0.23,2025-07-27T00:00:00,,
PEM8837,downtime,high,274.9 h sin movimiento en 30d | Cobertura 14d: 0.25,2025-07-27T00:00:00,,
753233J,downtime,high,209.8 h sin movimiento en 30d | Cobertura 14d: 0.39,2025-07-28T00:00:00,,
A05177A,downtime,high,174.4 h sin movimiento en 30d | Cobertura 14d: 0.56,2025-07-28T00:00:00,,
A05177A,downtime,high,383.0 h sin movimiento en 30d | Cobertura 14d: 0.29,2025-07-28T00:00:00,,
A1844K,downtime,high,190.2 h sin movimiento en 30d | Cobertura 14d: 0.18,2025-07-28T00:00:00,,
A4756A,downtime,high,265.3 h sin movimiento en 30d | Cobertura 14d: 0.28,2025-07-28T00:00:00,,
A579JMD,downtime,high,289.1 h sin movimiento en 30d | Cobertura 14d: 0.23,2025-07-28T00:00:00,,
A6397J,downtime,high,282.4 h sin movimiento en 30d | Cobertura 14d: 0.21,2025-07-28T00:00:00,,
A6397J,downtime,high,427.0 h sin movimiento en 30d | Cobertura 14d: 0.05,2025-07-28T00:00:00,,
A8046M,downtime,high,296.8 h sin movimiento en 30d | Cobertura 14d: 0.17,2025-07-28T00:00:00,,
A8046M,downtime,high,444.4 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-28T00:00:00,,
A85090D,downtime,high,203.8 h sin movimiento en 30d | Cobertura 14d: 0.60,2025-07-28T00:00:00,,
A9423D,downtime,high,297.0 h sin movimiento en 30d | Cobertura 14d: 0.23,2025-07-28T00:00:00,,
A9895M,downtime,high,259.9 h sin movimiento en 30d | Cobertura 14d: 0.28,2025-07-28T00:00:00,,
A9895M,downtime,high,322.2 h sin movimiento en 30d | Cobertura 14d: 0.14,2025-07-28T00:00:00,,
LKC143B,downtime,high,267.5 h sin movimiento en 30d | Cobertura 14d: 0.24,2025-07-28T00:00:00,,
LKC143B,downtime,high,459.7 h sin movimiento en 30d | Cobertura 14d: 0.03,2025-07-28T00:00:00,,
LUB299B,downtime,high,263.2 h sin movimiento en 30d | Cobertura 14d: 0.29,2025-07-28T00:00:00,,
N66BPK,downtime,high,276.0 h sin movimiento en 30d | Cobertura 14d: 0.22,2025-07-28T00:00:00,,
N66BPK,downtime,high,488.0 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-28T00:00:00,,
NXY1429,downtime,high,254.6 h sin movimiento en 30d | Cobertura 14d: 0.28,2025-07-28T00:00:00,,
NXY1429,downtime,high,394.2 h sin movimiento en 30d | Cobertura 14d: 0.10,2025-07-28T00:00:00,,
NZY4328,downtime,high,165.8 h sin movimiento en 30d | Cobertura 14d: 0.23,2025-07-28T00:00:00,,
NZY4328,downtime,high,254.6 h sin movimiento en 30d | Cobertura 14d: 0.15,2025-07-28T00:00:00,,
PCD9582,downtime,high,285.0 h sin movimiento en 30d | Cobertura 14d: 0.21,2025-07-28T00:00:00,,
PDP9133,downtime,high,269.2 h sin movimiento en 30d | Cobertura 14d: 0.26,2025-07-28T00:00:00,,
PEE3676,downtime,high,188.3 h sin movimiento en 30d | Cobertura 14d: 0.23,2025-07-28T00:00:00,,
UPS230G,downtime,high,278.8 h sin movimiento en 30d | Cobertura 14d: 0.22,2025-07-28T00:00:00,,
UPS230G,downtime,high,470.4 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-28T00:00:00,,
11G896,downtime,high,284.9 h sin movimiento en 30d | Cobertura 14d: 0.19,2025-07-29T00:00:00,,
11G896,downtime,high,449.1 h sin movimiento en 30d | Cobertura 14d: 0.00,2025-07-29T00:00:00,,
A01034A,downtime,high,207.8 h sin movimiento en 30d | Cobertura 14d: 0.45,2025-07-29T00:00:00,,
A01034A,downtime,high,328.2 h sin movimiento en 30d | Cobertura 14d: 0.20,2025-07-29T00:00:00,,
A02303A,downtime,high,243.2 h sin movimiento en 30d | Cobertura 14d: 0.32,2025-07-29T00:00:00,,
A03956A,downtime,high,220.4 h sin movimiento en 30d | Cobertura 14d: 0.37,2025-07-29T00:00:00,,
A05278A,downtime,high,185.1 h sin movimiento en 30d | Cobertura 14d: 0.42,2025-07-29T00:00:00,,
A19BNE,downtime,high,271.7 h sin movimiento en 30d | Cobertura 14d: 0.23,2025-07-29T00:00:00,,
A3319E,downtime,high,184.7 h sin movimiento en 30d | Cobertura 14d: 0.04,2025-07-29T00:00:00,,
A4584C,downtime,high,297.7 h sin movimiento en 30d | Cobertura 14d: 0.17,2025-07-29T00:00:00,,
A546JMF,downtime,high,280.5 h sin movimiento en 30d | Cobertura 14d: 0.23,2025-07-29T00:00:00,,
A6181H,downtime,high,289.3 h sin movimiento en 30d | Cobertura 14d: 0.19,2025-07-29T00:00:00,,
A6187A,downtime,high,286.9 h sin movimiento en 30d | Cobertura 14d: 0.22,2025-07-29T00:00:00,,
A6187A,downtime,high,348.4 h sin movimiento en 30d | Cobertura 14d: 0.10,2025-07-29T00:00:00,,
A6505B,downtime,high,237.0 h sin movimiento en 30d | Cobertura 14d: 0.28,2025-07-29T00:00:00,,
A77524D,downtime,high,152.3 h sin movimiento en 30d | Cobertura 14d: 0.54,2025-07-29T00:00:00,,
A8624L,downtime,high,120.4 h sin movimiento en 30d | Cobertura 14d: 0.16,2025-07-29T00:00:00,,
L62AYS,downtime,high,293.8 h sin movimiento en 30d | Cobertura 14d: 0.25,2025-07-29T00:00:00,,
L62AYS,downtime,high,448.1 h sin movimiento en 30d | Cobertura 14d: 0.09,2025-07-29T00:00:00,,
LB82663,downtime,high,230.0 h sin movimiento en 30d | Cobertura 14d: 0.38,2025-07-29T00:00:00,,
LB82663,downtime,high,411.7 h sin movimiento en 30d | Cobertura 14d: 0.10,2025-07-29T00:00:00,,
LG58491,downtime,high,235.4 h sin movimiento en 30d | Cobertura 14d: 0.27,2025-07-29T00:00:00,,
LG58491,downtime,high,398.4 h sin movimiento en 30d | Cobertura 14d: 0.12,2025-07-29T00:00:00,,
LHN874B,downtime,high,287.8 h sin movimiento en 30d | Cobertura 14d: 0.22,2025-07-29T00:00:00,,
LHY326B,downtime,high,288.4 h sin movimiento en 30d | Cobertura 14d: 0.23,2025-07-29T00:00:00,,
MGU724A,downtime,high,156.8 h sin movimiento en 30d | Cobertura 14d: 0.32,2025-07-29T00:00:00,,
NSZ793A,downtime,high,265.4 h sin movimiento en 30d | Cobertura 14d: 0.23,2025-07-29T00:00:00,,
NVS700A,downtime,high,278.1 h sin movimiento en 30d | Cobertura 14d: 0.24,2025-07-29T00:00:00,,
NZT5678,downtime,high,316.6 h sin movimiento en 30d | Cobertura 14d: 0.10,2025-07-29T00:00:00,,
PBP3281,downtime,high,208.7 h sin movimiento en 30d | Cobertura 14d: 0.19,2025-07-29T00:00:00,,
PBW6513,downtime,high,264.5 h sin movimiento en 30d | Cobertura 14d: 0.33,2025-07-29T00:00:00,,
PCB4784,downtime,high,267.2 h sin movimiento en 30d | Cobertura 14d: 0.23,2025-07-29T00:00:00,,
PEF2218,downtime,high,270.2 h sin movimiento en 30d | Cobertura 14d: 0.24,2025-07-29T00:00:00,,
PEK2124,downtime,high,230.5 h sin movimiento en 30d | Cobertura 14d: 0.19,2025-07-29T00:00:00,,
